proxy_start hostname=ganymede http=0.0.0.0:30322 registry=0.0.0.0:31322
registry_add role=prefill http=10.1.0.6:32322 zmq=10.1.0.6:34322
registry_add role=decode http=10.1.0.3:33322 zmq=10.1.0.3:34322
route count=0 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_2cc8cb40d908432e9d35b2e74c18b9cb prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=1 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_88fe5ed7e6fb4683bae476c3f43b471d prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=2 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_c9a8bc15206e42769bb6587854751c08 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=3 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_33d70462bfc6470998dd4824cc8eb9f1 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=4 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_04f4610d08c145afa091f0e7d2dbc152 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=5 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_4a0a099611964fb996d4ed6faf641e9e prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=6 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_508931369fad453dad3708879201816b prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=7 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_adcedaaa786d47ed97e23ec71718bc04 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=8 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_88aaffc6e8e84d5588ecb8de7f44df39 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=9 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_74b893768fe24960bae192b91f9a76fd prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=10 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_4f7461a883064763acfee29b59f83dfb prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=11 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_6222e8e2b6cd4211b2cce3e810f56788 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=12 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_0733596b5f2142f7b748a05ec311dd02 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=13 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_2aaa36be944042839ade6d804aa81c7d prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=14 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_0909d591c5464fc4b8ac6894ed193bd5 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=15 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_f431ab01ce004e25af5a097a81256d40 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=16 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_61725ff8248943d985dbf32224de06f9 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=17 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_de462abfdc034ce980dc2b36cd5b3102 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=18 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_b43c3c1a4c8d4f9d907df2467c947c89 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=19 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_5a3928641df643cfb2aa9bbc3f303c88 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=20 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_1e35369f1f8e4a70839a10a3726f3995 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=21 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_c9f44116a30b428bafe1c77f8e926739 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=22 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_cdac3d7b1dcc4a56a9d51c9014e99777 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=23 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_28d7e82c65814ffe80c421ec44f29851 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=24 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_d0ec1ad5f5db458bbb05ce43ecf9ea36 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
route count=25 request_id=___prefill_addr_10.1.0.6:34322___decode_addr_10.1.0.3:34322_dafec0d9519a45f485728db06dbcf520 prefill_http=10.1.0.6:32322 decode_http=10.1.0.3:33322
