unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1784841594.542381653,0,360,42165395807,8836041967,0, 16.40, 360, 0, 0, 72.00, 405, 38, 23034, P8
1784841595.154978805,0,360,42165462417,8836116063,0, 16.40, 360, 0, 0, 72.00, 405, 38, 23034, P8
1784841595.788896584,0,360,42165462417,8836116063,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1784841596.411948538,0,360,42165563787,8836242285,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1784841597.035372846,0,360,42165722867,8836433833,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1784841597.659772043,0,360,42165722867,8836433833,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1784841598.283119065,0,360,42165857295,8836597249,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1784841598.906112883,0,360,42165857295,8836597249,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1784841599.529244247,0,360,42165994149,8836764949,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1784841600.153010460,0,360,42166161831,8836934405,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1784841600.775006501,0,360,42166161831,8836934405,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1784841601.395405768,0,360,42166439401,8837183731,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841602.014686539,0,360,42166439401,8837183731,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841602.640636614,0,360,42167145703,8837798841,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841603.259178679,0,360,42168144479,8838670097,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841603.881591794,0,360,42168144479,8838670097,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841604.503926839,0,360,42168529775,8839002685,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841605.125489427,0,360,42168529775,8839002685,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841605.749728403,0,360,42168834987,8839270213,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841606.371764538,0,360,42169206095,8839614237,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841606.994074438,0,360,42169206095,8839614237,0, 16.50, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841607.615844423,0,360,42169568439,8839938337,0, 16.50, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841608.241495274,0,360,42169568439,8839938337,0, 16.50, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841608.865215851,0,360,42169662217,8840027189,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841609.485110344,0,360,42170449933,8840759065,0, 16.40, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841610.105860656,0,360,42170449933,8840759065,0, 16.40, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841610.727169072,0,360,42170918981,8841210791,0, 16.40, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841611.347957264,0,360,42171341117,8841618961,0, 16.40, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841611.969074663,0,360,42171341117,8841618961,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841612.590372580,0,360,42171865139,8842113943,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841613.214051739,0,360,42171865139,8842113943,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841613.833882044,0,360,42172076602,8842310120,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841614.457074544,0,360,42172469756,8842680861,0, 16.40, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841615.081649761,0,360,42172469756,8842680861,0, 16.40, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841615.705235312,0,360,42172517730,8842731442,0, 16.35, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841616.329560110,0,360,42172517730,8842731442,0, 16.35, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841616.953000266,0,360,42172561482,8842774468,0, 16.40, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841617.577344069,0,360,42172691854,8842901240,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841618.199936617,0,360,42172691854,8842901240,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841618.822139639,0,360,42172816492,8843030582,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841619.446081950,0,360,42172816492,8843030582,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841620.066482916,0,360,42172968268,8843159478,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841620.689015555,0,360,42173118062,8843292656,0, 16.40, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841621.309833577,0,360,42173118062,8843292656,0, 16.40, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841621.934032408,0,360,42173235088,8843404852,0, 16.40, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841622.558073745,0,360,42173235088,8843404852,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841623.181881839,0,360,42173242024,8843411330,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
1784841623.803974554,0,360,42173762286,8843930414,0, 16.45, 360, 0, 0, 72.00, 405, 37, 23034, P8
