unix_ts,host,role,instance_id,gpu_id,gpu_uuid,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785933312.007349566,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545674048,851549876137,0, 76.82, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933312.007349566,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545674048,851549876137,0, 81.10, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933312.748570899,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545674688,851549880061,0, 76.92, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933312.748570899,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545674688,851549880061,0, 81.83, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933313.487206219,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545680368,851549892633,0, 76.80, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933313.487206219,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545680368,851549892633,0, 81.83, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933314.221159992,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545680368,851549892633,0, 76.92, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933314.221159992,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545680368,851549892633,0, 80.90, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933314.964344976,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545683756,851549905507,0, 76.92, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933314.964344976,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545683756,851549905507,0, 80.90, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933315.698804739,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545687528,851549931253,0, 77.04, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933315.698804739,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545687528,851549931253,0, 81.05, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933316.449807834,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545692074,851549952838,0, 76.92, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933316.449807834,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545692074,851549952838,0, 81.00, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933317.190763969,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545692074,851549952838,0, 76.92, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933317.190763969,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545692074,851549952838,0, 80.97, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933317.931010051,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545694622,851549961974,0, 77.53, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933317.931010051,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545694622,851549961974,0, 80.97, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933318.664713857,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545697050,851549973014,0, 77.41, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933318.664713857,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545697050,851549973014,0, 81.22, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933319.404788106,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545697050,851549973014,0, 76.80, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933319.404788106,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545697050,851549973014,0, 81.14, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933320.144738659,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545701716,851549995739,0, 76.80, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933320.144738659,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545701716,851549995739,0, 81.66, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933320.878727944,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545705010,851550014917,0, 77.16, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933320.878727944,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545705010,851550014917,0, 81.66, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933321.623995901,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545707624,851550028425,0, 77.04, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933321.623995901,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545707624,851550028425,0, 81.61, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933322.364275415,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545707624,851550028425,0, 76.92, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933322.364275415,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545707624,851550028425,0, 80.97, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933323.104907798,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545711906,851550043586,0, 76.92, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933323.104907798,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545711906,851550043586,0, 81.19, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933323.844875643,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545714520,851550057518,0, 77.04, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933323.844875643,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545714520,851550057518,0, 81.19, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933324.594451951,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545714520,851550057518,0, 76.92, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933324.594451951,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545714520,851550057518,0, 81.07, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933325.335520797,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545716948,851550064832,0, 76.92, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933325.335520797,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545716948,851550064832,0, 80.73, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933326.082561145,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545722986,851550082577,0, 76.92, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933326.082561145,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545722986,851550082577,0, 81.14, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933326.815851919,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545725546,851550094667,0, 76.92, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933326.815851919,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545725546,851550094667,0, 81.14, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933327.557994735,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545725546,851550094667,0, 77.04, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933327.557994735,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545725546,851550094667,0, 81.14, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933328.297284529,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545729186,851550113103,0, 77.04, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933328.297284529,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545729186,851550113103,0, 80.78, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
1785933329.038103415,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,210,108545732772,851550134714,0, 77.04, 2520, 37853, 0, 350.00, 9001, 32, 46068, P0
1785933329.038103415,neptune,prefill,primary,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,0,210,108545732772,851550134714,0, 81.32, 2520, 37853, 0, 350.00, 9001, 33, 46068, P0
