unix_ts,iso_ts,index,name,clocks_sm_mhz,clocks_mem_mhz,power_w,util_gpu_pct,memory_used_mib,temperature_c
1784554221.254609,2026-07-20T15:30:21+02:00,0, NVIDIA L40S, 210, 405, 30.87, 0, 0, 22
1784554226.353264,2026-07-20T15:30:26+02:00,0, NVIDIA L40S, 210, 405, 30.88, 0, 0, 22
1784554231.451883,2026-07-20T15:30:31+02:00,0, NVIDIA L40S, 210, 405, 30.88, 0, 0, 22
1784554236.550484,2026-07-20T15:30:36+02:00,0, NVIDIA L40S, 210, 405, 30.88, 0, 0, 22
1784554241.653362,2026-07-20T15:30:41+02:00,0, NVIDIA L40S, 210, 405, 30.87, 0, 0, 22
1784554246.753427,2026-07-20T15:30:46+02:00,0, NVIDIA L40S, 210, 405, 30.88, 0, 0, 22
1784554251.854829,2026-07-20T15:30:51+02:00,0, NVIDIA L40S, 210, 405, 30.88, 0, 0, 22
1784554256.948744,2026-07-20T15:30:56+02:00,0, NVIDIA L40S, 210, 405, 30.87, 0, 0, 22
1784554262.062811,2026-07-20T15:31:02+02:00,0, NVIDIA L40S, 210, 405, 30.88, 0, 0, 22
1784554267.188018,2026-07-20T15:31:07+02:00,0, NVIDIA L40S, 210, 405, 30.87, 0, 0, 22
1784554272.312710,2026-07-20T15:31:12+02:00,0, NVIDIA L40S, 210, 405, 31.01, 0, 0, 22
1784554277.424211,2026-07-20T15:31:17+02:00,0, NVIDIA L40S, 210, 405, 30.88, 0, 0, 22
1784554282.541159,2026-07-20T15:31:22+02:00,0, NVIDIA L40S, 210, 405, 31.00, 0, 0, 22
1784554287.644243,2026-07-20T15:31:27+02:00,0, NVIDIA L40S, 2520, 9001, 77.11, 0, 503, 24
1784554292.761449,2026-07-20T15:31:32+02:00,0, NVIDIA L40S, 2520, 9001, 77.38, 0, 927, 24
1784554297.881241,2026-07-20T15:31:37+02:00,0, NVIDIA L40S, 2520, 9001, 76.55, 0, 927, 25
1784554302.997967,2026-07-20T15:31:43+02:00,0, NVIDIA L40S, 2520, 9001, 77.56, 2, 14409, 25
1784554308.118405,2026-07-20T15:31:48+02:00,0, NVIDIA L40S, 2520, 9001, 77.78, 1, 14409, 26
1784554313.232737,2026-07-20T15:31:53+02:00,0, NVIDIA L40S, 2520, 9001, 77.88, 1, 14409, 26
1784554318.343167,2026-07-20T15:31:58+02:00,0, NVIDIA L40S, 2520, 9001, 77.88, 1, 14409, 26
1784554323.465132,2026-07-20T15:32:03+02:00,0, NVIDIA L40S, 2520, 9001, 77.83, 1, 14409, 26
1784554328.574310,2026-07-20T15:32:08+02:00,0, NVIDIA L40S, 2520, 9001, 77.89, 1, 14409, 27
1784554333.684403,2026-07-20T15:32:13+02:00,0, NVIDIA L40S, 2520, 9001, 78.01, 2, 14409, 27
1784554338.791689,2026-07-20T15:32:18+02:00,0, NVIDIA L40S, 2520, 9001, 78.06, 2, 14409, 27
1784554343.890125,2026-07-20T15:32:23+02:00,0, NVIDIA L40S, 2520, 9001, 78.16, 1, 14409, 27
1784554348.992124,2026-07-20T15:32:28+02:00,0, NVIDIA L40S, 2520, 9001, 78.17, 2, 14409, 27
1784554354.096572,2026-07-20T15:32:34+02:00,0, NVIDIA L40S, 2520, 9001, 78.02, 0, 14373, 28
1784554359.197409,2026-07-20T15:32:39+02:00,0, NVIDIA L40S, 2520, 9001, 77.24, 0, 14373, 28
