window_id,request_index,request_id,trace_id,client_span_id,planned_send_unix_ns,client_ready_unix_ns,actual_send_unix_ns,response_headers_unix_ns,first_token_unix_ns,completed_unix_ns,planned_to_ready_ms,client_queue_delay_ms,send_lag_ms,ttft_ms,tpot_ms,e2e_ms,planned_input_tokens,actual_input_tokens,max_tokens,actual_output_tokens,token_event_count,stream_chunk_count,token_id_event_count,token_timestamp_complete,http_status,response_request_id,outcome,timeout,cancelled,retry_count,attempt_count,response_bytes,error
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,0,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00000-9f4142aca38c,d8d85d6c06df43d7a5c86c311ab05356,cb3a3d6ddf974571,1785511577737829948,1785511577745446435,1785511577747231750,1785511577792097998,1785511577826162101,1785511578496081384,7.616487,1.785315,9.401802,78.930351,21.610299451612903,748.849634,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00000-9f4142aca38c,success,False,False,0,1,12336,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,1,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00001-9e37cedeeba3,9159e8ca90534268a75500223a0053ba,b9847e29fd304c95,1785511577837829948,1785511577838742755,1785511577840849750,1785511577849303679,1785511577910540237,1785511578583120281,0.912807,2.106995,3.019802,69.690487,21.696130451612905,742.270531,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00001-9e37cedeeba3,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,2,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00002-9040a4a50be3,3f1f4da06023463980ff93af2502a246,f33efe91d8bf4e1a,1785511577937829948,1785511577938502604,1785511577940581159,1785511577948317392,1785511577997524722,1785511578670998234,0.672656,2.078555,2.751211,56.943563,21.724952000000002,730.417075,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00002-9040a4a50be3,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,3,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00003-52010b35817b,a6274a7465934c0e94bb84915a64998c,0b8e66a0cfbd4c9a,1785511578037829948,1785511578038437034,1785511578040624018,1785511578048953969,1785511578105375048,1785511578778970968,0.607086,2.186984,2.79407,64.75103,21.72890064516129,738.34695,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00003-52010b35817b,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,4,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00004-9d863893fd20,117cd38ee66149f981318002936ccdbc,8df10ea629d044ce,1785511578137829948,1785511578139932417,1785511578142427907,1785511578151495104,1785511578213263924,1785511578888464526,2.102469,2.49549,4.597959,70.836017,21.780664580645162,746.036619,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00004-9d863893fd20,success,False,False,0,1,12383,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,5,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00005-3fcd82dbfa31,a6f843c5a96d4aaca0ccb69cb88b2ed2,4c006bd98ba742af,1785511578237829948,1785511578238154213,1785511578240737712,1785511578259124380,1785511578321466391,1785511579001743063,0.324265,2.583499,2.907764,80.728679,21.944408774193548,761.005351,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00005-3fcd82dbfa31,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,6,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00006-86025e71ba03,222e2918cb6f4e65afdc7f1b5d0cf3b4,fd2e56541af846fe,1785511578337829948,1785511578338587396,1785511578340715732,1785511578349521706,1785511578410235566,1785511579085095735,0.757448,2.128336,2.885784,69.519834,21.769682870967742,744.380003,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00006-86025e71ba03,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,7,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00007-da086440f63e,341f96c723ec4f34859e89bf09d65dbf,362488c50e8147f4,1785511578437829948,1785511578438368185,1785511578440727867,1785511578448559854,1785511578518699026,1785511579193733244,0.538237,2.359682,2.897919,77.971159,21.77529735483871,753.005377,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00007-da086440f63e,success,False,False,0,1,12364,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,8,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00008-9a011f4a9a74,d1a5bc0666d94b90848a9371495243f3,d9ebc4da635d471c,1785511578537829948,1785511578539730709,1785511578542089457,1785511578549974808,1785511578606691358,1785511579281570346,1.900761,2.358748,4.259509,64.601901,21.770289935483873,739.480889,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00008-9a011f4a9a74,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,9,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00009-f5cc2c9770c9,a40bbf4d56bf4da9b1593c6ce4367b6f,185fa72c3cbe4460,1785511578637829948,1785511578638891519,1785511578641166112,1785511578650460074,1785511578715850090,1785511579390893996,1.061571,2.274593,3.336164,74.683978,21.77560987096774,749.727884,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00009-f5cc2c9770c9,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,10,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00010-9db2d94f4413,b2aabff4c35a411ba6be5acb9f1ce257,d03f1ad2bbaf4631,1785511578737829948,1785511578738730561,1785511578741045718,1785511578760821170,1785511578824788030,1785511579506590552,0.900613,2.315157,3.21577,83.742312,21.993629741935482,765.544834,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00010-9db2d94f4413,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,11,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00011-838f8fa76657,787c4ee97a6c4f7dbaf3df74a08596d8,758200697a8e4cdc,1785511578837829948,1785511578838436238,1785511578840598712,1785511578848068411,1785511578911689742,1785511579587121364,0.60629,2.162474,2.768764,71.09103,21.788116838709676,746.522652,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00011-838f8fa76657,success,False,False,0,1,12338,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,12,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00012-7e3809b6ba35,350fd16f8855477693ebc8ee6752c353,a29ffc7f29524be2,1785511578937829948,1785511578938244398,1785511578940273209,1785511578947596535,1785511579002148478,1785511579675201776,0.41445,2.028811,2.443261,61.875269,21.71139670967742,734.928567,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00012-7e3809b6ba35,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,13,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00013-d7f467525d47,8a9523878bc94e5086a468f66ccfda71,bc60e80fd9b64f07,1785511579037829948,1785511579038409376,1785511579040861818,1785511579048481040,1785511579108922031,1785511579783490454,0.579428,2.452442,3.03187,68.060213,21.760271709677422,742.628636,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00013-d7f467525d47,success,False,False,0,1,12339,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,14,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00014-c9bc167b40e6,b5ad9218c4e74b2dba2a091b57ec2379,127636afec7e4441,1785511579137829948,1785511579138113405,1785511579140205098,1785511579147842577,1785511579217718341,1785511579892905061,0.283457,2.091693,2.37515,77.513243,21.78021677419355,752.699963,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00014-c9bc167b40e6,success,False,False,0,1,12337,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,15,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00015-1fd7adf0bcb1,c23980135ae24f39a13d675a54c5cdf7,17e839e463f74617,1785511579237829948,1785511579238312425,1785511579240354755,1785511579263292900,1785511579327044916,1785511580009207760,0.482477,2.04233,2.524807,86.690161,22.005253032258064,768.853005,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00015-1fd7adf0bcb1,success,False,False,0,1,12336,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,16,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00016-fd7196bb9408,ed1fc8297d6f4cb0b010f4bd2a13e26b,29e993a5deaa416d,1785511579337829948,1785511579339126241,1785511579340856925,1785511579350306394,1785511579414675953,1785511580089924096,1.296293,1.730684,3.026977,73.819028,21.782198161290324,749.067171,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00016-fd7196bb9408,success,False,False,0,1,12338,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,17,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00017-47b5a59b3916,3820ce46ffb840ee87728712309d7595,f971ac9c8fa14adf,1785511579437829948,1785511579438745478,1785511579440741282,1785511579447616639,1785511579504448111,1785511580177966482,0.91553,1.995804,2.911334,63.706829,21.72639906451613,737.2252,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00017-47b5a59b3916,success,False,False,0,1,12336,
phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1,18,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00018-8761aa62f2ec,2b06d3d181d1436b846d7d2c8fb9391c,6249d00c8a8941c4,1785511579537829948,1785511579538746417,1785511579540910195,1785511579547969387,1785511579611614748,1785511580286866004,0.916469,2.163778,3.080247,70.704553,21.78229858064516,745.955809,128,128,32,32,32,32,32,True,200,phase2-full-grid-rerun-20260731-l40s-l40s-tp1-f2520-i128-o32-r10-rep3-seg1-attempt1-00018-8761aa62f2ec,success,False,False,0,1,12411,
