unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785095920.147449132,0,480,47953881045,228771829396,0, 31.14, 210, 0, 0, 350.00, 405, 24, 46068, P0
1785095920.732036834,0,480,47953881045,228771829396,0, 44.84, 480, 0, 0, 350.00, 9001, 24, 46068, P0
1785095921.317961361,0,480,47953949692,228771909626,0, 58.54, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095921.903055924,0,480,47953949692,228771909626,0, 58.54, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095922.488413753,0,480,47954048288,228772032544,0, 58.54, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095923.072033788,0,480,47954208970,228772225986,0, 58.54, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095923.655007043,0,480,47954208970,228772225986,0, 58.59, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095924.238189410,0,480,47954349660,228772396722,0, 58.59, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095924.821057362,0,480,47954349660,228772396722,0, 59.01, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095925.404484175,0,480,47954482120,228772559960,0, 59.13, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095925.988837490,0,480,47954482120,228772559960,0, 59.13, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095926.571375920,0,480,47954650216,228772726388,0, 58.76, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095927.154420036,0,480,47954911124,228772960218,0, 58.76, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095927.737237246,0,480,47954911124,228772960218,0, 58.76, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095928.318101607,0,480,47955485286,228773462080,0, 58.88, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095928.900358094,0,480,47955485286,228773462080,0, 58.88, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095929.479908604,0,480,47956129720,228774025668,0, 58.89, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095930.060648648,0,480,47956129720,228774025668,0, 58.89, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095930.642938823,0,480,47956777764,228774591084,0, 58.76, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095931.223869147,0,480,47957039556,228774816432,0, 58.76, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785095931.807565633,0,480,47957039556,228774816432,0, 58.89, 480, 0, 0, 350.00, 9001, 25, 46068, P0
