unix_ts,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate,dvfs_mode
1785361965.728589854,374176947201,11756294496,0, 17.72, 210, 0, 0, 72.00, 405, 57, 23034, P8,automatic_hardware
1785361966.342035522,374177015481,11756378953,0, 17.72, 210, 0, 0, 72.00, 405, 57, 23034, P8,automatic_hardware
1785361966.954258668,374177015481,11756378953,0, 17.71, 210, 0, 0, 72.00, 405, 57, 23034, P8,automatic_hardware
1785361967.566881154,374177290539,11756713661,0, 17.71, 210, 0, 0, 72.00, 405, 57, 23034, P8,automatic_hardware
1785361968.180117943,374177290539,11756713661,0, 17.71, 210, 0, 0, 72.00, 405, 56, 23034, P8,automatic_hardware
1785361968.806884002,374177573905,11757057275,0, 17.71, 210, 0, 0, 72.00, 405, 56, 23034, P8,automatic_hardware
1785361969.420002410,374178083555,11757521735,0, 17.71, 210, 0, 0, 72.00, 405, 56, 23034, P8,automatic_hardware
1785361970.034871952,374178083555,11757521735,0, 17.71, 210, 0, 0, 72.00, 405, 56, 23034, P8,automatic_hardware
1785361970.649352781,374179268897,11758555169,0, 17.71, 210, 0, 0, 72.00, 405, 56, 23034, P8,automatic_hardware
1785361971.261816460,374180058465,11759235825,0, 17.66, 210, 0, 0, 72.00, 405, 56, 23034, P8,automatic_hardware
1785361971.875012168,374180058465,11759235825,0, 17.66, 210, 0, 0, 72.00, 405, 56, 23034, P8,automatic_hardware
1785361972.487627930,374180495341,11759632669,0, 17.61, 210, 0, 0, 72.00, 405, 56, 23034, P8,automatic_hardware
1785361973.106050296,374180495341,11759632669,0, 17.61, 210, 0, 0, 72.00, 405, 56, 23034, P8,automatic_hardware
1785361973.720545311,374181075767,11760151119,0, 17.61, 210, 0, 0, 72.00, 405, 56, 23034, P8,automatic_hardware
1785361974.334377468,374181481893,11760530569,0, 17.61, 210, 0, 0, 72.00, 405, 56, 23034, P8,automatic_hardware
1785361974.953129560,374181481893,11760530569,0, 17.61, 210, 0, 0, 72.00, 405, 55, 23034, P8,automatic_hardware
1785361975.571131629,374182228919,11761229555,0, 17.61, 210, 0, 0, 72.00, 405, 55, 23034, P8,automatic_hardware
1785361976.191092186,374182228919,11761229555,0, 17.61, 210, 0, 0, 72.00, 405, 55, 23034, P8,automatic_hardware
1785361976.802013241,374183062271,11762021761,0, 17.61, 210, 0, 0, 72.00, 405, 55, 23034, P8,automatic_hardware
1785361977.413743446,374183513231,11762450549,0, 17.61, 210, 0, 0, 72.00, 405, 55, 23034, P8,automatic_hardware
1785361978.027552387,374183513231,11762450549,0, 17.56, 210, 0, 0, 72.00, 405, 55, 23034, P8,automatic_hardware
1785361978.644063890,374183769745,11762683307,0, 17.56, 210, 0, 0, 72.00, 405, 55, 23034, P8,automatic_hardware
1785361979.257062699,374183769745,11762683307,0, 17.52, 210, 0, 0, 72.00, 405, 55, 23034, P8,automatic_hardware
1785361979.900684596,374183970776,11762875486,0, 17.52, 210, 0, 0, 72.00, 405, 55, 23034, P8,automatic_hardware
1785361980.513343253,374184018418,11762917032,0, 17.61, 210, 0, 0, 72.00, 405, 55, 23034, P8,automatic_hardware
1785361981.126450535,374184018418,11762917032,0, 17.61, 210, 0, 0, 72.00, 405, 55, 23034, P8,automatic_hardware
1785361981.745682779,374184156608,11763053334,0, 17.61, 210, 0, 0, 72.00, 405, 55, 23034, P8,automatic_hardware
1785361982.358235256,374184156608,11763053334,0, 17.52, 210, 0, 0, 72.00, 405, 55, 23034, P8,automatic_hardware
1785361982.974865019,374184361016,11763245106,0, 17.52, 210, 0, 0, 72.00, 405, 54, 23034, P8,automatic_hardware
1785361983.590880980,374184596738,11763447030,0, 17.52, 210, 0, 0, 72.00, 405, 54, 23034, P8,automatic_hardware
1785361984.204056368,374184596738,11763447030,0, 17.52, 210, 0, 0, 72.00, 405, 54, 23034, P8,automatic_hardware
1785361984.818139214,374184714136,11763566764,0, 17.52, 210, 0, 0, 72.00, 405, 54, 23034, P8,automatic_hardware
1785361985.431875795,374184714136,11763566764,0, 17.47, 210, 0, 0, 72.00, 405, 54, 23034, P8,automatic_hardware
1785361986.048746651,374185159926,11764019586,0, 17.42, 210, 0, 0, 72.00, 405, 54, 23034, P8,automatic_hardware
1785361986.660830424,374185921798,11764788920,0, 17.75, 2040, 21, 0, 72.00, 6251, 55, 23034, P0,automatic_hardware
1785361987.285272130,374185921798,11764788920,0, 23.53, 2040, 245, 0, 72.00, 6251, 55, 23034, P0,automatic_hardware
1785361987.885470293,374186184252,11765074894,0, 29.70, 2040, 629, 0, 72.00, 6251, 55, 23034, P0,automatic_hardware
1785361988.490893814,374186184252,11765074894,0, 29.73, 2040, 629, 0, 72.00, 6251, 56, 23034, P0,automatic_hardware
1785361989.097906514,374186710730,11765569322,0, 29.81, 2040, 629, 0, 72.00, 6251, 56, 23034, P0,automatic_hardware
1785361989.707294800,374186913368,11765597020,0, 30.46, 2040, 0, 0, 72.00, 6251, 56, 23034, P0,automatic_hardware
1785361990.316906241,374186913368,11765597020,0, 30.02, 2040, 0, 0, 72.00, 6251, 56, 23034, P0,automatic_hardware
