unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784712672,0,480,23630893943,7443265194,0, 45.15, 210, 0
1784712674,0,480,23631177470,7443599519,0, 58.89, 480, 0
1784712676,0,480,23632152796,7444577211,0, 58.77, 480, 0
1784712678,0,480,23634226240,7446370503,0, 58.77, 480, 0
1784712680,0,480,23635137152,7447190265,0, 58.76, 480, 0
1784712682,0,480,23636219754,7448203857,0, 58.89, 480, 0
1784712685,0,480,23637545301,7449450684,0, 58.89, 480, 0
1784712687,0,480,23638016022,7449884060,0, 59.01, 480, 0
1784712689,0,480,23638195510,7450049304,0, 58.87, 480, 0
1784712691,0,480,23638632234,7450427602,0, 58.89, 480, 0
1784712693,0,480,23639178124,7450936766,0, 59.01, 480, 0
1784712695,0,480,23640291654,7452065260,0, 59.78, 480, 943
1784712697,0,480,23641176140,7452898282,10, 59.59, 480, 14425
1784712699,0,480,23641202530,7452912346,9, 60.30, 480, 14425
1784712701,0,480,23641204386,7452915320,9, 60.65, 480, 14425
1784712703,0,480,23641205474,7452917368,0, 59.68, 480, 14389
1784712705,0,480,23641209298,7452923896,0, 71.02, 480, 14405
1784712707,0,480,23641220386,7452935742,0, 59.25, 480, 14405
1784712710,0,480,23641221474,7452937970,0, 59.01, 480, 14405
1784712712,0,480,23641222488,7452940208,0, 59.13, 480, 14405
1784712714,0,480,23641223762,7452942730,0, 59.13, 480, 14405
1784712716,0,480,23641226497,7452947021,32, 61.34, 480, 37565
1784712718,0,480,23641273625,7452992717,0, 59.25, 480, 37565
