unix_ts,host,role,instance_id,gpu_id,gpu_uuid,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785852901.918926017,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108223762932,747902774597,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852902.506959529,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108223762932,747902774597,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852903.093324363,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108223824784,747902837473,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852903.678453219,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108223824784,747902837473,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852904.263457211,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108223918936,747902955931,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852904.850372044,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108224093440,747903169717,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852905.435473624,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108224093440,747903169717,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852906.021072063,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108224224080,747903332087,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852906.606929991,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108224224080,747903332087,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852907.193612617,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108224349650,747903494351,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852907.780361878,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108224349650,747903494351,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852908.365346553,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108224505978,747903666059,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852908.949283470,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108224723556,747903872563,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852909.534356578,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108224723556,747903872563,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852910.118179261,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108225147808,747904248913,0, 31.24, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852910.701940692,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108225147808,747904248913,0, 31.24, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852911.286341187,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108225756796,747904783273,0, 31.24, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852911.871371905,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108225756796,747904783273,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852912.456413282,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108226372178,747905327873,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852913.040411415,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108226852354,747905757539,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852913.624902874,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108226852354,747905757539,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852914.209490980,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108226973708,747905862857,0, 31.12, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852914.793457871,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108226973708,747905862857,0, 31.11, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852915.377362541,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108227260482,747906131265,0, 31.11, 210, 0, 0, 350.00, 405, 24, 46068, P8
1785852915.961327823,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,2520,108227260482,747906131265,0, 31.11, 210, 0, 0, 350.00, 405, 24, 46068, P8
