proxy_start hostname=ganymede http=0.0.0.0:30048 registry=0.0.0.0:31048
registry_add role=decode http=10.1.0.3:33048 zmq=10.1.0.3:34048
registry_add role=prefill http=10.1.0.6:32048 zmq=10.1.0.6:34048
route count=0 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_bb2ac6f5d80b4670bf9c242c56fcfa09 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=1 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_a610be287d1e420096892f0e8a639d32 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=2 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_2a5c079c2d5d4825b4da0dfb629e3f83 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=3 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_709f36bf862d4d9ab6c59bef64d4a8c1 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=4 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_fbc7473df7a9404d9f6ed175a5d904b7 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=5 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_a0a77eb4d9364070879cbacebcb76dfb prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=6 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_e17fe3febe6d45a08e4dcc444fd41a8a prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=7 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_c9608bc1b0c645cc9d52c1df7ef55256 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=8 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_dca1d7911e6c4419be6286bc41452722 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=9 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_207c3d813cd947b882ff685329c9aa85 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=10 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_0e9bfbf9df78431e8b60ce0fea109053 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=11 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_34ee7467315748758688eaa4630f1118 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=12 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_8861be801bd34c02877ce02fb8415115 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=13 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_9c11e1957dc44fc4bf551937709bf22d prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=14 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_be008c2cb4304254a4261d1d32e3dc77 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=15 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_c81be782c3f540a78b1245209906b476 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=16 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_09a17cafb91d4292a19c05cd03c1fcba prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=17 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_ee6fe43f87944a0fa87c1b8680ea6a86 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=18 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_ef54777230e445fcad01f6858de93260 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=19 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_fea94d0c92084cfeaf3c8d9fa51b63f6 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=20 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_5cc55c40fb09406da7920ccbd992d58b prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=21 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_66f19c7eb513483c8521a39a493f49c0 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=22 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_c072eedfb904423ba3ba9395487e58d1 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=23 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_fc497fd410634276be89848967c8c5e1 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=24 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_ca10928400714fd5abe2df38917f66c8 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=25 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_a8731d825ed6453283c5d285e48b4875 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
route count=26 request_id=___prefill_addr_10.1.0.6:34048___decode_addr_10.1.0.3:34048_06d6a010d814488db973f418cf28d239 prefill_http=10.1.0.6:32048 decode_http=10.1.0.3:33048
