unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1784843024.851874951,0,0,28471477292,33020330409,0, 30.88, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843025.438095969,0,0,28471477292,33020330409,0, 30.88, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843026.020741206,0,0,28471671916,33020456285,0, 30.88, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843026.602042746,0,0,28471671916,33020456285,0, 30.88, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843027.185227386,0,0,28472158024,33020877559,0, 30.88, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843027.767314428,0,0,28472158024,33020877559,0, 30.88, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843028.348855634,0,0,28472604390,33021281627,0, 30.88, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843028.931356310,0,0,28472882654,33021546747,0, 30.88, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843029.513784283,0,0,28472882654,33021546747,0, 30.88, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843030.095978926,0,0,28473264332,33021890603,0, 30.88, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843030.678781258,0,0,28473264332,33021890603,0, 30.88, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843031.260127625,0,0,28473548000,33022148605,0, 30.88, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843031.843918089,0,0,28473548000,33022148605,0, 31.01, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843032.425932743,0,0,28477691746,33022254629,0, 31.01, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843033.010477924,0,0,28481277668,33022350125,0, 31.00, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843033.594137582,0,0,28481277668,33022350125,0, 31.00, 210, 0, 0, 350.00, 405, 23, 46068, P8
1784843034.177132539,0,0,28488792958,33022462137,0, 30.89, 210, 0, 0, 350.00, 405, 23, 46068, P8
