unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784816592,0,1245,23770750756,15107162268,0, 31.12, 210, 0
1784816594,0,1245,23770921325,15107355552,0, 61.45, 1245, 0
1784816596,0,1245,23771201299,15107690994,0, 61.33, 1245, 0
1784816598,0,1245,23771483235,15108008266,0, 61.45, 1245, 0
1784816601,0,1245,23772223325,15108657982,0, 61.45, 1245, 0
1784816603,0,1245,23773811339,15110038806,0, 61.33, 1245, 0
1784816605,0,1245,23774256275,15110420384,0, 61.70, 1245, 0
1784816607,0,1245,23774919301,15111019854,0, 61.45, 1245, 0
1784816609,0,1245,23775295485,15111364466,0, 61.45, 1245, 0
1784816611,0,1245,23776148279,15112166046,0, 61.45, 1245, 0
1784816613,0,1245,23776949079,15112926918,0, 61.57, 1245, 0
1784816615,0,1245,23777454993,15113391876,0, 61.45, 1245, 0
1784816617,0,1245,23777876321,15113789186,0, 61.57, 1245, 0
1784816619,0,1245,23778034697,15113936700,0, 61.57, 1245, 0
1784816621,0,1245,23778270687,15114149398,0, 61.57, 1245, 0
1784816623,0,1245,23778478633,15114322012,0, 61.57, 1245, 0
1784816625,0,1245,23778913395,15114751842,0, 61.57, 1245, 0
1784816628,0,1245,23779912311,15115753978,0, 61.57, 1245, 0
1784816630,0,1245,23780471819,15116313208,1, 61.95, 1245, 943
