unix_ns,monotonic_ns,role,endpoint,scrape_ok,scrape_duration_ms,running,waiting,waiting_growth_per_s,kv_cache_usage,prefix_cache_hits,prefix_cache_queries,external_prefix_cache_hits,external_prefix_cache_queries,preemptions,prompt_tokens,generation_tokens,successful_requests,e2e_count,e2e_sum_s,ttft_count,ttft_sum_s,inter_token_count,inter_token_sum_s,iteration_tokens_count,iteration_tokens_sum,error
1785511708848315930,1137078891845313,combined,http://127.0.0.1:8000/metrics,True,25.218320079147816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1785511709349274611,1137079392805883,combined,http://127.0.0.1:8000/metrics,True,27.037468971684575,3.0,0.0,0.0,0.003092783505154628,0.0,96.0,0.0,0.0,0.0,96.0,6.0,0.0,0.0,0.0,3.0,0.36533355712890625,3.0,0.1913016070611775,3.0,102.0,
1785511709850875047,1137079894405584,combined,http://127.0.0.1:8000/metrics,True,25.97844903357327,9.0,0.0,0.0,0.008934707903780037,0.0,288.0,0.0,0.0,0.0,256.0,58.0,0.0,0.0,0.0,8.0,1.1627016067504883,50.0,3.0692080988083035,12.0,314.0,
1785511710352104018,1137080395634952,combined,http://127.0.0.1:8000/metrics,True,27.64611504971981,14.0,0.0,0.0,0.015120274914089293,0.0,448.0,0.0,0.0,0.0,416.0,147.0,0.0,0.0,0.0,13.0,1.9608724117279053,134.0,8.33208820456639,20.0,563.0,
1785511710853190780,1137080896721585,combined,http://127.0.0.1:8000/metrics,True,31.210347078740597,18.0,0.0,0.0,0.02130584192439866,0.0,576.0,0.0,0.0,0.0,576.0,257.0,0.0,0.0,0.0,18.0,2.8267982006073,239.0,15.023282194044441,27.0,833.0,
1785511711354877758,1137081398408163,combined,http://127.0.0.1:8000/metrics,True,24.06584401614964,21.0,0.0,0.0,0.024742268041237137,0.0,768.0,0.0,0.0,0.0,736.0,416.0,3.0,3.0,6.25018048286438,23.0,3.650191068649292,393.0,25.220917472150177,35.0,1152.0,
1785511711856733245,1137081900263740,combined,http://127.0.0.1:8000/metrics,True,28.106196084991097,21.0,0.0,0.0,0.024742268041237137,0.0,928.0,0.0,0.0,0.0,896.0,580.0,8.0,8.0,16.986891984939575,28.0,4.4598565101623535,552.0,35.724746690131724,43.0,1476.0,
1785511712357699615,1137082401229863,combined,http://127.0.0.1:8000/metrics,True,23.549547884613276,21.0,0.0,0.0,0.02439862542955329,0.0,1088.0,0.0,0.0,0.0,1056.0,726.0,13.0,13.0,27.878190279006958,33.0,5.261220216751099,693.0,45.08735653292388,50.0,1782.0,
1785511712859635674,1137082903165779,combined,http://127.0.0.1:8000/metrics,True,23.100030841305852,21.0,0.0,0.0,0.024742268041237137,0.0,1248.0,0.0,0.0,0.0,1216.0,896.0,18.0,18.0,38.973567962646484,38.0,6.051926851272583,858.0,55.999700258951634,58.0,2112.0,
1785511713361446042,1137083404976177,combined,http://127.0.0.1:8000/metrics,True,22.87292294204235,22.0,0.0,0.0,0.02577319587628868,0.0,1408.0,0.0,0.0,0.0,1376.0,1045.0,22.0,22.0,47.84690022468567,43.0,6.866023063659668,1002.0,65.56587718729861,65.0,2421.0,
1785511713864008282,1137083907538497,combined,http://127.0.0.1:8000/metrics,True,23.34714704193175,21.0,0.0,0.0,0.024742268041237137,0.0,1568.0,0.0,0.0,0.0,1536.0,1216.0,28.0,28.0,61.14437675476074,48.0,7.631967067718506,1168.0,76.56425119773485,73.0,2752.0,
1785511714366276846,1137084409807033,combined,http://127.0.0.1:8000/metrics,True,30.61872790567577,21.0,0.0,0.0,0.025085910652920984,0.0,1696.0,0.0,0.0,0.0,1696.0,1364.0,32.0,32.0,69.98988890647888,53.0,8.481209754943848,1311.0,86.0465518773999,80.0,3060.0,
1785511714867313379,1137084910843522,combined,http://127.0.0.1:8000/metrics,True,23.12038210220635,21.0,0.0,0.0,0.024742268041237137,0.0,1888.0,0.0,0.0,0.0,1856.0,1532.0,38.0,38.0,83.28391814231873,58.0,9.406795024871826,1474.0,96.82537441095337,88.0,3388.0,
1785511715369201021,1137085412731205,combined,http://127.0.0.1:8000/metrics,True,28.142282040789723,21.0,0.0,0.0,0.024742268041237137,0.0,2048.0,0.0,0.0,0.0,2016.0,1700.0,43.0,43.0,94.36739087104797,63.0,10.279465675354004,1637.0,107.63008694560267,96.0,3716.0,
1785511715870425744,1137085913955996,combined,http://127.0.0.1:8000/metrics,True,23.25219102203846,21.0,0.0,0.0,0.02439862542955329,0.0,2208.0,0.0,0.0,0.0,2176.0,1847.0,48.0,48.0,105.39803004264832,68.0,11.176031827926636,1779.0,117.02966429037042,103.0,4023.0,
1785511716372911208,1137086416441479,combined,http://127.0.0.1:8000/metrics,True,23.31317914649844,21.0,0.0,0.0,0.024742268041237137,0.0,2368.0,0.0,0.0,0.0,2336.0,2016.0,53.0,53.0,116.51570916175842,73.0,12.025650024414062,1943.0,127.90499012591317,111.0,4352.0,
1785511716875516786,1137086919047048,combined,http://127.0.0.1:8000/metrics,True,23.951214039698243,22.0,0.0,0.0,0.02577319587628868,0.0,2528.0,0.0,0.0,0.0,2496.0,2165.0,57.0,57.0,125.46427917480469,78.0,12.893220901489258,2087.0,137.44483432755806,118.0,4661.0,
1785511717377551798,1137087421081949,combined,http://127.0.0.1:8000/metrics,True,23.356857942417264,21.0,0.0,0.0,0.024742268041237137,0.0,2688.0,0.0,0.0,0.0,2656.0,2336.0,63.0,63.0,138.8591136932373,83.0,13.713476181030273,2253.0,148.46223353641108,126.0,4992.0,
1785511717879897514,1137087923427602,combined,http://127.0.0.1:8000/metrics,True,29.472409980371594,22.0,0.0,0.0,0.02577319587628868,0.0,2848.0,0.0,0.0,0.0,2816.0,2485.0,67.0,67.0,147.78420853614807,88.0,14.557957649230957,2397.0,158.00496487040073,133.0,5301.0,
1785511718381055466,1137088424585646,combined,http://127.0.0.1:8000/metrics,True,23.49963109008968,21.0,0.0,0.0,0.024742268041237137,0.0,3008.0,0.0,0.0,0.0,2976.0,2656.0,73.0,73.0,161.16624188423157,93.0,15.364918231964111,2563.0,169.02306092646904,141.0,5632.0,
