unix_ts,host,role,instance_id,gpu_id,gpu_uuid,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785680717.779163533,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107107669078,680264692834,0, 31.14, 210, 0, 0, 350.00, 405, 24, 46068, P0
1785680718.361812130,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107107690349,680264712056,0, 44.89, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785680718.957361088,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107107690349,680264712056,0, 44.89, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785680719.542334385,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107107750853,680264784278,0, 58.76, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785680720.126521196,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107107750853,680264784278,0, 58.89, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785680720.709438312,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107107867653,680264933510,0, 58.89, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785680721.293803182,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107108029063,680265131522,0, 58.76, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785680721.877771439,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107108029063,680265131522,0, 58.76, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785680722.461558079,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107108300143,680265474396,0, 58.64, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785680723.045541214,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107108300143,680265474396,0, 58.76, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785680723.630223302,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107108479383,680265656302,0, 58.76, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785680724.210625559,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107108479383,680265656302,0, 58.89, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785680724.791930645,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107108978733,680266101940,0, 58.89, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1785680725.374798879,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107109716099,680266749056,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680725.955698242,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107109716099,680266749056,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680726.539227749,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107110414157,680267364654,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680727.121794364,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107110414157,680267364654,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680727.704029991,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107110806395,680267713020,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680728.285598661,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107110806395,680267713020,0, 58.88, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680728.870202210,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107110979279,680267866664,0, 58.88, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680729.455278777,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107111244925,680268118872,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680730.038653558,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107111244925,680268118872,0, 58.88, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680730.622459161,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107111506865,680268375318,0, 58.88, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680731.204282813,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107111506865,680268375318,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680731.787228097,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107111880207,680268716616,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680732.370104289,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107111880207,680268716616,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680732.954285564,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107111964635,680268795090,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680733.537427331,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107112423115,680269222572,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680734.121441631,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107112423115,680269222572,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680734.702820568,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107112898009,680269677716,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680735.288829643,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107112898009,680269677716,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680735.870953340,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107113281939,680270051744,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680736.450178086,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107113281939,680270051744,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680737.031787322,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107113766039,680270521762,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680737.607105123,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107114183307,680270924958,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680738.192026075,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107114183307,680270924958,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680738.786237716,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107114362737,680271089684,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680739.369427504,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107114362737,680271089684,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680739.951984930,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107114743748,680271456596,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680740.537401018,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107114743748,680271456596,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680741.123347835,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107114814395,680271528353,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680741.708062233,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107114854271,680271571747,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680742.295457178,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107114854271,680271571747,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680742.879347110,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107114928447,680271650267,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680743.463663432,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107114928447,680271650267,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680744.046927900,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107115014457,680271744661,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680744.631669543,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107115014457,680271744661,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680745.209620017,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107115153005,680271894341,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680745.794355218,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107115285039,680272007805,0, 59.01, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680746.377213355,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107115285039,680272007805,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680746.962778397,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107115426389,680272127759,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680747.545816972,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107115426389,680272127759,0, 59.25, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680748.128663188,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107115469177,680272170127,0, 59.25, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680748.705159795,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107115469177,680272170127,0, 59.25, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680749.300453877,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107115565511,680272272495,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1785680749.884646872,neptune,prefill,primary,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,0,480,107115565511,680272385921,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
