unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784739224.654492903,0,480,23716502538,14100842793,0, 41.62, 480, 0
1784739225.237502111,0,480,23716537003,14100869494,0, 41.62, 480, 0
1784739225.820856555,0,480,23716537003,14100869494,0, 50.12, 480, 0
1784739226.402905659,0,480,23716581681,14100923296,0, 50.12, 480, 0
1784739226.984650144,0,480,23716717235,14101091662,0, 58.64, 480, 0
1784739227.565329030,0,480,23716717235,14101091662,0, 58.76, 480, 0
1784739228.148361249,0,480,23716859075,14101261594,0, 58.76, 480, 0
1784739228.730415845,0,480,23716859075,14101261594,0, 58.84, 480, 0
1784739229.312663781,0,480,23717015591,14101452806,0, 58.84, 480, 0
1784739229.894774225,0,480,23717015591,14101452806,0, 58.84, 480, 0
1784739230.476758432,0,480,23717143143,14101606282,0, 58.84, 480, 0
1784739231.058330177,0,480,23717319547,14101770706,0, 58.88, 480, 0
1784739231.638966793,0,480,23717319547,14101770706,0, 58.89, 480, 0
1784739232.220575347,0,480,23717683063,14102093028,0, 58.89, 480, 0
1784739232.800053752,0,480,23717683063,14102093028,0, 58.89, 480, 0
1784739233.380602385,0,480,23718296695,14102627270,0, 58.89, 480, 0
1784739233.961349132,0,480,23718296695,14102627270,0, 58.89, 480, 0
1784739234.541236565,0,480,23719061711,14103294236,0, 58.89, 480, 0
1784739235.121967805,0,480,23719061711,14103294236,0, 58.89, 480, 0
1784739235.702783826,0,480,23719595289,14103760664,0, 58.89, 480, 0
1784739236.281536062,0,480,23719711239,14103854924,0, 58.89, 480, 0
1784739236.864020557,0,480,23719711239,14103854924,0, 58.89, 480, 0
1784739237.445266268,0,480,23720007261,14104118268,0, 58.89, 480, 0
1784739238.024595945,0,480,23720007261,14104118268,0, 58.89, 480, 0
1784739238.604504360,0,480,23720248383,14104346008,0, 58.88, 480, 0
1784739239.186982156,0,480,23720248383,14104346008,0, 58.88, 480, 0
1784739239.766842903,0,480,23720647305,14104703946,0, 58.89, 480, 0
1784739240.347169175,0,480,23720772649,14104819766,0, 58.89, 480, 0
1784739240.926156420,0,480,23720772649,14104819766,0, 58.89, 480, 0
1784739241.507216106,0,480,23720996855,14105026358,0, 59.13, 480, 0
1784739242.088428697,0,480,23720996855,14105026358,0, 59.13, 480, 0
1784739242.670857994,0,480,23722034719,14106011090,0, 59.13, 480, 0
1784739243.251069207,0,480,23722034719,14106011090,0, 59.13, 480, 0
1784739243.832700345,0,480,23722480321,14106436536,0, 58.89, 480, 0
1784739244.413984215,0,480,23722950709,14106882632,0, 58.89, 480, 0
1784739244.994766332,0,480,23722950709,14106882632,0, 58.89, 480, 0
1784739245.575348040,0,480,23723172950,14107096931,0, 58.89, 480, 0
1784739246.155961534,0,480,23723172950,14107096931,0, 58.89, 480, 0
1784739246.736219861,0,480,23723421783,14107330054,0, 58.89, 480, 0
1784739247.317478923,0,480,23723421783,14107330054,0, 58.89, 480, 0
1784739247.901524329,0,480,23723620612,14107520923,0, 58.89, 480, 0
1784739248.484012105,0,480,23723658956,14107560231,0, 58.89, 480, 0
1784739249.066792057,0,480,23723658956,14107560231,0, 59.01, 480, 0
1784739249.649965713,0,480,23723736452,14107637193,0, 59.01, 480, 0
1784739250.231423834,0,480,23723736452,14107637193,0, 59.01, 480, 0
1784739250.814014585,0,480,23723824858,14107722077,0, 58.89, 480, 0
1784739251.395614641,0,480,23723824858,14107722077,0, 58.89, 480, 0
1784739251.977692169,0,480,23723942950,14107844779,0, 59.01, 480, 0
1784739252.557702616,0,480,23724068060,14107954453,0, 59.01, 480, 0
1784739253.138199794,0,480,23724068060,14107954453,0, 59.01, 480, 0
1784739253.719473059,0,480,23724204144,14108073679,0, 58.88, 480, 0
1784739254.301312188,0,480,23724204144,14108073679,0, 58.88, 480, 0
1784739254.884568047,0,480,23724272144,14108134561,0, 58.89, 480, 0
1784739255.469491653,0,480,23724272144,14108134561,0, 58.89, 480, 0
1784739256.050395353,0,480,23724379614,14108247699,0, 59.01, 480, 0
1784739256.632039164,0,480,23724379614,14108247699,0, 59.01, 480, 0
1784739257.215194681,0,480,23724451672,14108326667,0, 59.01, 480, 0
1784739257.794907790,0,480,23724744932,14108628445,0, 59.01, 480, 0
1784739258.374939910,0,480,23724744932,14108628445,0, 59.01, 480, 0
1784739258.955294091,0,480,23725121676,14109010003,0, 59.01, 480, 0
1784739259.534929601,0,480,23725121676,14109010003,0, 58.89, 480, 0
1784739260.117991066,0,480,23725454758,14109350183,0, 59.53, 480, 20
1784739260.778750148,0,480,23725803792,14109694905,0, 60.52, 480, 503
1784739261.359965533,0,480,23725803792,14109694905,0, 59.66, 480, 503
1784739261.943589976,0,480,23726137832,14110031529,1, 59.22, 480, 943
1784739262.524440132,0,480,23726137832,14110031529,0, 59.20, 480, 943
1784739263.107910523,0,480,23726417816,14110300547,2, 59.19, 480, 14425
1784739263.689056441,0,480,23726417816,14110300547,0, 59.19, 480, 14425
1784739264.270457855,0,480,23726704772,14110568770,7, 59.66, 480, 14425
1784739264.854412623,0,480,23726736465,14110583145,9, 60.24, 480, 14425
1784739265.421059654,0,480,23726736465,14110583145,9, 60.20, 480, 14425
1784739266.008010021,0,480,23726738253,14110586693,5, 60.31, 480, 14425
1784739266.601937779,0,480,23726738253,14110586693,9, 60.15, 480, 14425
1784739267.174809313,0,480,23726741497,14110594901,10, 59.97, 480, 14425
1784739267.743055025,0,480,23726741497,14110594901,7, 60.15, 480, 14425
1784739268.308688657,0,480,23726743285,14110599029,6, 60.11, 480, 14425
1784739268.917702560,0,480,23726743285,14110599029,8, 60.26, 480, 14425
1784739269.497946559,0,480,23726744299,14110601203,9, 60.11, 480, 14425
1784739270.090200553,0,480,23726746293,14110605953,9, 60.20, 480, 14425
1784739270.661598719,0,480,23726746293,14110605953,9, 60.15, 480, 14425
1784739271.231276963,0,480,23726748333,14110610937,4, 60.04, 480, 14425
1784739271.813080933,0,480,23726748333,14110610937,0, 59.55, 480, 14389
1784739272.392897336,0,480,23726749787,14110617125,25, 63.31, 480, 14917
1784739272.978044615,0,480,23726749787,14110617125,100, 99.07, 480, 14917
1784739273.558597427,0,480,23726752239,14110623069,0, 106.65, 480, 14919
1784739274.137798836,0,480,23726754159,14110628773,0, 71.35, 480, 14405
1784739274.719260552,0,480,23726754159,14110628773,0, 59.57, 480, 14405
1784739275.300966229,0,480,23726766413,14110644625,0, 59.57, 480, 14405
1784739275.881145761,0,480,23726766413,14110644625,0, 59.15, 480, 14405
1784739276.461662094,0,480,23726767373,14110647733,0, 59.15, 480, 14405
1784739277.042095078,0,480,23726767373,14110647733,0, 59.13, 480, 14405
1784739277.623091394,0,480,23726769907,14110658937,0, 59.13, 480, 14405
1784739278.204679804,0,480,23726772197,14110665657,0, 59.13, 480, 14405
1784739278.785382993,0,480,23726772197,14110665657,0, 59.13, 480, 14405
1784739279.366043279,0,480,23726775163,14110673505,0, 59.37, 480, 14405
1784739279.946526823,0,480,23726775163,14110673505,0, 59.37, 480, 14405
1784739280.527044799,0,480,23726776197,14110677237,0, 59.37, 480, 14405
1784739281.107810296,0,480,23726776197,14110677237,0, 59.13, 480, 14405
1784739281.687489446,0,480,23726778697,14110685415,0, 59.13, 480, 14405
1784739282.267480594,0,480,23726780737,14110693275,0, 59.13, 480, 14405
1784739282.848529884,0,480,23726780737,14110693275,0, 59.13, 480, 14405
1784739283.427604373,0,480,23726781697,14110697313,0, 59.13, 480, 14405
1784739284.008456392,0,480,23726781697,14110697313,0, 59.13, 480, 14405
1784739284.591573186,0,480,23726783737,14110705605,0, 59.13, 480, 14405
1784739285.174070795,0,480,23726783737,14110705605,0, 59.13, 480, 14405
1784739285.755160310,0,480,23726789671,14110724727,0, 59.13, 480, 14405
1784739286.333036342,0,480,23726789671,14110724727,0, 59.13, 480, 14405
1784739286.913353913,0,480,23726790721,14110729359,0, 59.13, 480, 14405
1784739287.496595318,0,480,23726792761,14110738659,0, 59.84, 480, 14429
