unix_ts,node,instance,gpu_id,gpu_uuid,clock_seq,target_freq_mhz,actual_freq_mhz,power_w,util_gpu_pct,temperature_c,memory_used_mib
1786363820.733824,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.26,0,24,0
1786363820.733824,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.08,0,25,0
1786363821.265098,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.26,0,24,0
1786363821.265098,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.09,0,25,0
1786363821.795301,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.51,0,24,0
1786363821.795301,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.09,0,25,0
1786363822.318659,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.51,0,24,0
1786363822.318659,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.21,0,25,0
1786363822.844433,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.51,0,24,0
1786363822.844433,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.21,0,25,0
1786363823.365529,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363823.365529,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.21,0,25,0
1786363823.885609,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363823.885609,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.21,0,25,0
1786363824.407710,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363824.407710,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.20,0,25,0
1786363824.927650,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363824.927650,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.20,0,25,0
1786363825.446691,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363825.446691,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.20,0,25,0
1786363825.966660,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363825.966660,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.20,0,25,0
1786363826.490748,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363826.490748,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.21,0,25,0
1786363827.013631,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363827.013631,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.21,0,25,0
1786363827.532689,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363827.532689,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.16,0,25,0
1786363828.056332,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363828.056332,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.16,0,25,0
1786363828.577239,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363828.577239,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363829.096719,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363829.096719,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363829.619582,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.26,0,24,0
1786363829.619582,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363830.141575,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.26,0,24,0
1786363830.141575,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363830.660682,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.26,0,24,0
1786363830.660682,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363831.180328,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.26,0,24,0
1786363831.180328,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363831.699506,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363831.699506,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.20,0,25,0
1786363832.217680,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363832.217680,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363832.740150,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363832.740150,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363833.260608,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363833.260608,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.11,0,25,0
1786363833.783277,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.51,0,24,0
1786363833.783277,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.11,0,25,0
1786363834.305383,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.51,0,24,0
1786363834.305383,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.12,0,25,0
1786363834.829819,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.51,0,24,0
1786363834.829819,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.12,0,25,0
1786363835.350911,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363835.350911,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.12,0,25,0
1786363835.870322,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363835.870322,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.12,0,25,0
1786363836.390731,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363836.390731,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363836.910772,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363836.910772,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363837.432418,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363837.432418,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363837.950784,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363837.950784,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363838.471550,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363838.471550,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363838.996519,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.38,0,24,0
1786363838.996519,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363839.517591,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.26,0,24,0
1786363839.517591,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
1786363840.039714,uranus,Prefill_2,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,0,0,210,31.26,0,24,0
1786363840.039714,uranus,Prefill_2,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,0,0,210,32.15,0,25,0
