unix_ts,host,gpu_index,gpu_uuid,gpu_power_w
1785676633.479656,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,75.94
1785676633.479656,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.87
1785676633.479656,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.53
1785676633.479656,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.31
1785676633.980164,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,75.94
1785676633.980164,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.87
1785676633.980164,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.53
1785676633.980164,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.31
1785676634.480667,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,75.94
1785676634.480667,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.92
1785676634.480667,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.65
1785676634.480667,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.31
1785676634.981170,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,75.94
1785676634.981170,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.92
1785676634.981170,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.65
1785676634.981170,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.31
1785676635.481672,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,75.82
1785676635.481672,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.97
1785676635.481672,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.52
1785676635.481672,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.31
1785676635.982174,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,75.82
1785676635.982174,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.97
1785676635.982174,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.52
1785676635.982174,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.31
1785676636.482663,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,75.82
1785676636.482663,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.92
1785676636.482663,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.39
1785676636.482663,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.31
1785676636.983167,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,75.82
1785676636.983167,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.92
1785676636.983167,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.39
1785676636.983167,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.31
1785676637.483671,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,75.82
1785676637.483671,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.92
1785676637.483671,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.4
1785676637.483671,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.31
1785676637.984176,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,75.82
1785676637.984176,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.92
1785676637.984176,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.4
1785676637.984176,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.31
1785676638.484677,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,75.94
1785676638.484677,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.92
1785676638.484677,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.41
1785676638.484677,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.31
1785676638.985183,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,75.94
1785676638.985183,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.92
1785676638.985183,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.41
1785676638.985183,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.31
1785676639.485684,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,76.07
1785676639.485684,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.87
1785676639.485684,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.41
1785676639.485684,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,31.31
1785676639.986187,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,76.07
1785676639.986187,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,31.87
1785676639.986187,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,31.41
