unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785144300.725206169,0,2040,287216010751,9990435266,0, 16.06, 210, 0, 0, 72.00, 405, 33, 23034, P0
1785144301.348631291,0,2040,287216010751,9990435266,0, 21.40, 2040, 0, 0, 72.00, 6251, 34, 23034, P0
1785144301.968689686,0,2040,287216051286,9990484290,0, 26.78, 2040, 0, 0, 72.00, 6251, 34, 23034, P0
1785144302.588107637,0,2040,287216051286,9990484290,0, 26.78, 2040, 0, 0, 72.00, 6251, 35, 23034, P0
1785144303.205068293,0,2040,287216156870,9990618694,0, 26.73, 2040, 0, 0, 72.00, 6251, 35, 23034, P0
1785144303.822345617,0,2040,287216355038,9990858010,0, 26.73, 2040, 0, 0, 72.00, 6251, 35, 23034, P0
1785144304.443194451,0,2040,287216355038,9990858010,0, 26.73, 2040, 0, 0, 72.00, 6251, 35, 23034, P0
1785144305.062161614,0,2040,287216484230,9991014536,0, 26.84, 2040, 0, 0, 72.00, 6251, 35, 23034, P0
1785144305.679987245,0,2040,287216484230,9991014536,0, 26.84, 2040, 0, 0, 72.00, 6251, 35, 23034, P0
1785144306.301802112,0,2040,287216616402,9991176920,0, 26.79, 2040, 0, 0, 72.00, 6251, 35, 23034, P0
1785144306.918851800,0,2040,287216784370,9991342870,0, 26.79, 2040, 0, 0, 72.00, 6251, 35, 23034, P0
1785144307.536400186,0,2040,287216784370,9991342870,0, 26.83, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785144308.151860902,0,2040,287218724958,9993039760,0, 26.89, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785144308.767332664,0,2040,287218724958,9993039760,0, 26.89, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785144309.385434288,0,2040,287219154066,9993409138,0, 26.89, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
1785144310.002152540,0,2040,287219454388,9993672640,0, 26.83, 2040, 0, 0, 72.00, 6251, 36, 23034, P0
