unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1784881476.684008920,0,480,47619830746,49698847787,0, 31.38, 210, 0, 0, 350.00, 405, 25, 46068, P0
1784881477.265493099,0,480,47619871496,49698879081,0, 45.09, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1784881477.848595320,0,480,47619871496,49698879081,0, 58.79, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1784881478.430419125,0,480,47619932396,49698945835,0, 58.79, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1784881479.010980298,0,480,47620155940,49699171233,0, 58.85, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1784881479.593867848,0,480,47620155940,49699171233,0, 58.85, 480, 0, 0, 350.00, 9001, 25, 46068, P0
1784881480.177866460,0,480,47620424238,49699440715,0, 58.85, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1784881480.763577001,0,480,47620424238,49699440715,0, 58.85, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1784881481.346452522,0,480,47620565128,49699595273,0, 59.20, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1784881481.929183814,0,480,47620565128,49699595273,0, 59.39, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1784881482.511492269,0,480,47620696422,49699759901,0, 59.39, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1784881483.094835459,0,480,47620861480,49699937117,0, 59.02, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1784881483.677072313,0,480,47620861480,49699937117,0, 59.02, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1784881484.258832284,0,480,47621088878,49700142775,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1784881484.839424437,0,480,47621088878,49700142775,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1784881485.421982526,0,480,47621658678,49700641185,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1784881486.004872441,0,480,47621658678,49700641185,0, 58.88, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1784881486.587965362,0,480,47622325836,49701224131,0, 58.88, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1784881487.171102059,0,480,47623033784,49701843405,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
1784881487.753801135,0,480,47623033784,49701843405,0, 58.89, 480, 0, 0, 350.00, 9001, 26, 46068, P0
