unix_ts,node,instance,gpu_id,gpu_uuid,clock_seq,target_freq_mhz,actual_freq_mhz,power_w,util_gpu_pct,temperature_c,memory_used_mib
1786278347.906430,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.06,0,34,0
1786278348.424802,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.06,0,34,0
1786278348.940544,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.06,0,34,0
1786278349.454951,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.06,0,34,0
1786278349.971942,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.06,0,34,0
1786278350.490069,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.06,0,34,0
1786278351.005002,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.06,0,34,0
1786278351.521868,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.06,0,34,0
1786278352.036014,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.06,0,34,0
1786278352.550998,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.11,0,34,0
1786278353.065419,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.11,0,34,0
1786278353.580088,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.11,0,34,0
1786278354.096725,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.11,0,34,0
1786278354.610867,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.20,0,34,0
1786278355.124221,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.20,0,34,0
1786278355.638803,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.20,0,34,0
1786278356.153686,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.06,0,34,0
1786278356.668997,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.06,0,34,0
1786278357.182976,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.11,0,34,0
1786278357.699739,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.11,0,34,0
1786278358.215329,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.11,0,34,0
1786278358.730971,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.11,0,34,0
1786278359.243639,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.06,0,34,0
1786278359.758906,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.06,0,34,0
1786278360.271680,ganymede,Decode_0,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,0,210,16.06,0,34,0
