proxy_start hostname=ganymede http=0.0.0.0:30160 registry=0.0.0.0:31160
registry_add role=decode http=10.1.0.3:33160 zmq=10.1.0.3:34160
registry_add role=prefill http=10.1.0.6:32160 zmq=10.1.0.6:34160
route count=0 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_cb3e4d05f68c45959eb3e349fb37e2e7 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
clock_ack_publish node_group=ganymede seq=1 target_mhz=360 rc=0 observed_mhz=360
clock_ack_publish node_group=neptune seq=1 target_mhz=480 rc=0 observed_mhz=480
route count=1 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_fa61ac48e4304d47acdd7d059903656d prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=2 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_f700ac7dc11846b8aed4230fa03dc7c1 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=3 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_f9f0921e47ac453ca17a8f5746a14e1d prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=4 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_f04f6870ab884883866ddf84711bb308 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=5 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_809bcfe6317644e4ae89de001fb6dddb prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=6 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_c220261667db4b949b2f5ce0ea90f014 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=7 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_56a0ffaf2dcd46b79147aa2e39b5d1a2 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=8 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_170f906382af4684b49c383495fab372 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=9 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_2adca8810f444c1dad38f8c2b034b848 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=10 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_e0ab2b3e04144973b49dcba7ae5a9d2f prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=11 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_8259790dfa28488eab4bcb2176d17431 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
