unix_ts,host,gpu_index,gpu_uuid,power_w,sm_clock_mhz,gpu_util_pct
1786135824.488786,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.06,210.0,0.0
1786135824.488786,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.85,210.0,0.0
1786135824.488786,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786135824.488786,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.51,210.0,0.0
1786135824.989252,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.06,210.0,0.0
1786135824.989252,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.85,210.0,0.0
1786135824.989252,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786135824.989252,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.51,210.0,0.0
1786135825.489706,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.06,210.0,0.0
1786135825.489706,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.85,210.0,0.0
1786135825.489706,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786135825.489706,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56,210.0,0.0
1786135825.990156,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.06,210.0,0.0
1786135825.990156,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.85,210.0,0.0
1786135825.990156,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786135825.990156,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56,210.0,0.0
1786135826.490603,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.06,210.0,0.0
1786135826.490603,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.85,210.0,0.0
1786135826.490603,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786135826.490603,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56,210.0,0.0
1786135826.991049,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.06,210.0,0.0
1786135826.991049,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.85,210.0,0.0
1786135826.991049,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786135826.991049,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.56,210.0,0.0
1786135827.491519,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.06,210.0,0.0
1786135827.491519,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.85,210.0,0.0
1786135827.491519,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786135827.491519,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.51,210.0,0.0
1786135827.991968,ganymede,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,16.06,210.0,0.0
1786135827.991968,ganymede,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,15.85,210.0,0.0
1786135827.991968,ganymede,2,GPU-4c457bed-02f9-0e41-a2aa-223bc07a6d30,15.88,210.0,0.0
1786135827.991968,ganymede,3,GPU-4fcfdc09-de3b-156a-5d01-453f2b97235f,16.51,210.0,0.0
