unix_ts,event,seq,workload_id,policy
1784994999.735275237,workload_start,1,input_1024_r1,kv_aware_high_input
1784995030.454429775,workload_end,1,input_1024_r1,kv_aware_high_input
1784995038.356035610,workload_start,2,input_1024_r4,kv_aware_high_input
1784995065.992022261,workload_end,2,input_1024_r4,kv_aware_high_input
1784995073.899431672,workload_start,3,input_1536_r1,kv_aware_high_input
1784995105.528613234,workload_end,3,input_1536_r1,kv_aware_high_input
1784995112.408415345,workload_start,4,input_1536_r3,kv_aware_high_input
1784995143.047420548,workload_end,4,input_1536_r3,kv_aware_high_input
1784995150.826527954,workload_start,5,input_2048_r1,kv_aware_high_input
1784995183.081513862,workload_end,5,input_2048_r1,kv_aware_high_input
1784995189.920692042,workload_start,6,input_2048_r3,kv_aware_high_input
