unix_ts,host,role,instance_id,gpu_id,gpu_uuid,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785922515.890039582,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866786144343,192374769729,0, 16.40, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922515.890039582,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866786144343,192374769729,0, 27.93, 2040, 0, 0, 72.00, 6251, 48, 23034, P8
1785922516.833265186,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866786183284,192374828609,0, 16.50, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922516.833265186,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866786183284,192374828609,0, 22.42, 360, 0, 0, 72.00, 405, 48, 23034, P8
1785922517.765600099,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866786229094,192374883279,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922517.765600099,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866786229094,192374883279,0, 16.71, 360, 0, 0, 72.00, 405, 48, 23034, P8
1785922518.710179530,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866786360402,192375051181,0, 16.40, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922518.710179530,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866786360402,192375051181,0, 16.62, 360, 0, 0, 72.00, 405, 47, 23034, P8
1785922519.638770785,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866786508176,192375233839,0, 16.35, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922519.638770785,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866786508176,192375233839,0, 16.62, 360, 0, 0, 72.00, 405, 47, 23034, P8
1785922520.578086304,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866786678108,192375453163,0, 16.35, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922520.578086304,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866786678108,192375453163,0, 16.62, 360, 0, 0, 72.00, 405, 47, 23034, P8
1785922521.534627165,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866786812258,192375625727,0, 16.35, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922521.534627165,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866786812258,192375625727,0, 16.57, 360, 0, 0, 72.00, 405, 47, 23034, P8
1785922522.439590143,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866787104068,192375898433,0, 16.39, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922522.439590143,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866787104068,192375898433,0, 16.52, 360, 0, 0, 72.00, 405, 47, 23034, P8
1785922523.352071261,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866788185910,192376850321,0, 16.44, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922523.352071261,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866788185910,192376850321,0, 16.52, 360, 0, 0, 72.00, 405, 47, 23034, P8
1785922524.273517508,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866789229762,192377766373,0, 16.44, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922524.273517508,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866789229762,192377766373,0, 16.57, 360, 0, 0, 72.00, 405, 46, 23034, P8
1785922525.206441719,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866789229762,192377766373,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922525.206441719,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866789229762,192377766373,0, 16.62, 360, 0, 0, 72.00, 405, 46, 23034, P8
1785922526.138595348,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866789381372,192377897921,0, 16.40, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922526.138595348,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866789381372,192377897921,0, 16.57, 360, 0, 0, 72.00, 405, 46, 23034, P8
1785922527.078350710,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866790152842,192378620349,0, 16.34, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922527.078350710,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866790152842,192378620349,0, 16.52, 360, 0, 0, 72.00, 405, 46, 23034, P8
1785922528.006662208,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866790425166,192378874359,0, 16.40, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922528.006662208,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866790425166,192378874359,0, 16.57, 360, 0, 0, 72.00, 405, 46, 23034, P8
1785922528.924567186,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866790580528,192379024221,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922528.924567186,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866790580528,192379024221,0, 16.57, 360, 0, 0, 72.00, 405, 46, 23034, P8
1785922529.852488086,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866791039466,192379458861,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922529.852488086,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866791039466,192379458861,0, 16.57, 360, 0, 0, 72.00, 405, 46, 23034, P8
1785922530.778832640,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866791837490,192380217535,0, 16.40, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922530.778832640,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866791837490,192380217535,0, 16.57, 360, 0, 0, 72.00, 405, 46, 23034, P8
1785922531.708607204,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866792440246,192380795849,0, 16.35, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922531.708607204,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866792440246,192380795849,0, 16.57, 360, 0, 0, 72.00, 405, 46, 23034, P8
1785922532.654223165,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866792825748,192381161600,0, 16.35, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922532.654223165,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866792825748,192381161600,0, 16.52, 360, 0, 0, 72.00, 405, 46, 23034, P8
1785922533.593044573,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866793093483,192381416919,0, 16.35, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922533.593044573,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866793093483,192381416919,0, 16.52, 360, 0, 0, 72.00, 405, 45, 23034, P8
1785922534.510694274,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866793288736,192381616296,0, 16.35, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922534.510694274,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866793288736,192381616296,0, 16.52, 360, 0, 0, 72.00, 405, 45, 23034, P8
1785922535.464671617,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866793288736,192381616296,0, 16.40, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922535.464671617,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866793288736,192381616296,0, 16.52, 360, 0, 0, 72.00, 405, 45, 23034, P8
1785922536.399401155,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866793329190,192381666482,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922536.399401155,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866793329190,192381666482,0, 16.52, 360, 0, 0, 72.00, 405, 45, 23034, P8
1785922537.329195756,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866793407858,192381747980,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922537.329195756,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866793407858,192381747980,0, 16.52, 360, 0, 0, 72.00, 405, 45, 23034, P8
1785922538.297558981,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866793557956,192381902642,0, 16.44, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922538.297558981,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866793557956,192381902642,0, 16.52, 360, 0, 0, 72.00, 405, 45, 23034, P8
1785922539.223539478,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866793650092,192381998068,0, 16.44, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922539.223539478,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866793650092,192381998068,0, 16.52, 360, 0, 0, 72.00, 405, 45, 23034, P8
1785922540.153466039,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866793790898,192382123598,0, 16.40, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922540.153466039,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866793790898,192382123598,0, 16.52, 360, 0, 0, 72.00, 405, 45, 23034, P8
1785922541.086456357,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866793916896,192382235380,0, 16.40, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922541.086456357,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866793916896,192382235380,0, 16.52, 360, 0, 0, 72.00, 405, 45, 23034, P8
1785922542.020660732,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866794034616,192382358026,0, 16.44, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922542.020660732,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866794034616,192382358026,0, 16.52, 360, 0, 0, 72.00, 405, 45, 23034, P8
1785922542.940015297,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866794041424,192382374246,0, 16.44, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922542.940015297,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866794041424,192382374246,0, 16.52, 360, 0, 0, 72.00, 405, 45, 23034, P8
1785922543.872740207,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866794490886,192382830054,0, 16.44, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922543.872740207,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866794490886,192382830054,0, 16.52, 360, 0, 0, 72.00, 405, 44, 23034, P8
1785922544.793885176,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866795071410,192383422112,0, 16.39, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922544.793885176,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866795071410,192383422112,0, 16.47, 360, 0, 0, 72.00, 405, 44, 23034, P8
1785922545.734926960,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866795364066,192383732530,0, 16.35, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922545.734926960,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866795364066,192383732530,0, 16.48, 360, 0, 0, 72.00, 405, 44, 23034, P8
1785922546.677451673,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866795364066,192383732530,0, 16.35, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922546.677451673,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866795364066,192383732530,0, 16.48, 360, 0, 0, 72.00, 405, 44, 23034, P8
1785922547.604192856,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866795453356,192383816930,0, 16.40, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922547.604192856,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866795453356,192383816930,0, 16.43, 360, 0, 0, 72.00, 405, 44, 23034, P8
1785922548.584744751,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866795707098,192384075558,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922548.584744751,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866795707098,192384075558,0, 16.43, 360, 0, 0, 72.00, 405, 44, 23034, P8
1785922549.505378442,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866795876870,192384259322,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922549.505378442,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866795876870,192384259322,0, 16.43, 360, 0, 0, 72.00, 405, 44, 23034, P8
1785922550.421635381,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866796172032,192384516268,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
1785922550.421635381,ganymede,decode,primary,1,GPU-1a75a85d-1f07-6519-507b-f1ff9def0ab9,0,360,4866796172032,192384516268,0, 16.43, 360, 0, 0, 72.00, 405, 44, 23034, P8
1785922551.350186872,ganymede,decode,primary,0,GPU-07e36d4f-3eca-a88d-1c31-445fc0d863e8,0,360,4866796525524,192384817426,0, 16.45, 360, 0, 0, 72.00, 405, 38, 23034, P8
