unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785140551.061264101,0,360,270788524937,9841237506,0, 16.06, 210, 0, 0, 72.00, 405, 33, 23034, P8
1785140551.685640190,0,360,270788524937,9841237506,0, 16.11, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140552.315259437,0,360,270788590368,9841309946,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140552.937829943,0,360,270788688188,9841431780,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140553.562566751,0,360,270788688188,9841431780,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140554.185230293,0,360,270788866832,9841650248,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140554.807912507,0,360,270788866832,9841808990,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140555.429620850,0,360,270788997266,9841808990,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140556.053219334,0,360,270789133086,9841974584,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140556.679044990,0,360,270789133086,9841974584,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140557.301950502,0,360,270789291262,9842130028,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140557.923029522,0,360,270789935444,9842696284,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140558.545392742,0,360,270789935444,9842696284,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140559.165190861,0,360,270790962970,9843591734,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140559.785944170,0,360,270790962970,9843591734,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140560.408059651,0,360,270791613006,9844159274,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140561.027951904,0,360,270791795716,9844313132,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140561.650017448,0,360,270791795716,9844313132,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140562.271247008,0,360,270792111514,9844606120,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140562.894069863,0,360,270792111514,9844606120,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140563.517154835,0,360,270792418738,9844882392,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140564.140802612,0,360,270792775960,9845204748,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140564.763154303,0,360,270792775960,9845204748,0, 16.25, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140565.384885157,0,360,270793064922,9845476210,0, 16.25, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140566.007698256,0,360,270793064922,9845476210,0, 16.25, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140566.630562365,0,360,270793923912,9846280902,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140567.252181912,0,360,270794437884,9846774768,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140567.874560659,0,360,270794437884,9846774768,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140568.497075386,0,360,270794993548,9847302646,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140569.119904716,0,360,270794993548,9847302646,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140569.745131534,0,360,270795204524,9847497323,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140570.367435865,0,360,270795569311,9847848841,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140570.994406405,0,360,270795569311,9847848841,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140571.619070685,0,360,270795643295,9847918401,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140572.240707773,0,360,270795689075,9847962669,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140572.865176899,0,360,270795689075,9847962669,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140573.487381423,0,360,270795805275,9848083505,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140574.110210096,0,360,270795805275,9848083505,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140574.729991075,0,360,270795926323,9848205683,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140575.351577838,0,360,270796036309,9848304667,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140575.973716901,0,360,270796036309,9848304667,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140576.599252687,0,360,270796173223,9848422367,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140577.223121160,0,360,270796173223,9848422367,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140577.845618506,0,360,270796258103,9848497641,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140578.469526131,0,360,270796368703,9848605383,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140579.091401440,0,360,270796368703,9848605383,0, 16.16, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140579.713995496,0,360,270796951765,9849189801,0, 16.20, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140580.335579452,0,360,270796951765,9849189801,0, 16.20, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140580.956278222,0,360,270797346883,9849589159,0, 16.20, 360, 0, 0, 72.00, 405, 33, 23034, P8
1785140581.580363466,0,360,270797678729,9849928129,0, 16.16, 360, 1, 0, 72.00, 405, 33, 23034, P8
1785140582.294642077,0,360,270797678729,9849928129,0, 18.04, 360, 227, 0, 72.00, 6251, 34, 23034, P0
1785140582.914619342,0,360,270797822583,9850086193,0, 20.17, 360, 225, 0, 72.00, 6251, 34, 23034, P0
1785140583.535690960,0,360,270798268023,9850515657,1, 20.04, 360, 665, 0, 72.00, 6251, 34, 23034, P0
1785140584.156514556,0,360,270798268023,9850515657,0, 20.06, 360, 9209, 0, 72.00, 6251, 34, 23034, P0
1785140584.777244095,0,360,270798699979,9850921062,0, 20.04, 360, 14147, 0, 72.00, 6251, 34, 23034, P0
1785140585.400569256,0,360,270798699979,9850921062,11, 20.20, 360, 14147, 1, 72.00, 6251, 34, 23034, P0
