unix_ns,monotonic_ns,event,client_request_id,internal_request_id,route_index,stage,upstream_url,http_status,bytes,prefill_http,decode_http,traceparent,error
1785485242754404897,1110612797935512,proxy_arrival,baseline_3m-00000-fae0e5f26ad1,,,,,,,,,00-1194c0f97e7a4c5c8195d50b17db9c79-282576569a7147d6-01,
1785485242759470777,1110612803013476,proxy_route,baseline_3m-00000-fae0e5f26ad1,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00000-fae0e5f26ad1_7551a533a7474a09af0abe3d8f784104,0,,,,,10.1.0.6:32023,10.1.0.3:33023,00-1194c0f97e7a4c5c8195d50b17db9c79-282576569a7147d6-01,
1785485242761321781,1110612804851527,upstream_dispatch,baseline_3m-00000-fae0e5f26ad1,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00000-fae0e5f26ad1_7551a533a7474a09af0abe3d8f784104,0,prefill,http://10.1.0.6:32023/v1/completions,,,,,00-1194c0f97e7a4c5c8195d50b17db9c79-282576569a7147d6-01,
1785485242870637087,1110612914167926,upstream_headers,baseline_3m-00000-fae0e5f26ad1,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00000-fae0e5f26ad1_7551a533a7474a09af0abe3d8f784104,0,prefill,http://10.1.0.6:32023/v1/completions,200,,,,00-1194c0f97e7a4c5c8195d50b17db9c79-282576569a7147d6-01,
1785485243297217463,1110613340748048,upstream_first_chunk,baseline_3m-00000-fae0e5f26ad1,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00000-fae0e5f26ad1_7551a533a7474a09af0abe3d8f784104,0,prefill,http://10.1.0.6:32023/v1/completions,200,703,,,00-1194c0f97e7a4c5c8195d50b17db9c79-282576569a7147d6-01,
1785485243301246865,1110613344777327,upstream_complete,baseline_3m-00000-fae0e5f26ad1,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00000-fae0e5f26ad1_7551a533a7474a09af0abe3d8f784104,0,prefill,http://10.1.0.6:32023/v1/completions,200,703,,,00-1194c0f97e7a4c5c8195d50b17db9c79-282576569a7147d6-01,
1785485243304162631,1110613347692616,upstream_dispatch,baseline_3m-00000-fae0e5f26ad1,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00000-fae0e5f26ad1_7551a533a7474a09af0abe3d8f784104,0,decode,http://10.1.0.3:33023/v1/completions,,,,,00-1194c0f97e7a4c5c8195d50b17db9c79-282576569a7147d6-01,
1785485243381694527,1110613425226089,upstream_headers,baseline_3m-00000-fae0e5f26ad1,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00000-fae0e5f26ad1_7551a533a7474a09af0abe3d8f784104,0,decode,http://10.1.0.3:33023/v1/completions,200,,,,00-1194c0f97e7a4c5c8195d50b17db9c79-282576569a7147d6-01,
1785485243492012198,1110613535541871,upstream_first_chunk,baseline_3m-00000-fae0e5f26ad1,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00000-fae0e5f26ad1_7551a533a7474a09af0abe3d8f784104,0,decode,http://10.1.0.3:33023/v1/completions,200,374,,,00-1194c0f97e7a4c5c8195d50b17db9c79-282576569a7147d6-01,
1785485243748889339,1110613792418818,proxy_arrival,baseline_3m-00001-d551ea556a87,,,,,,,,,00-a93e0932bf4640bc9fa805f134a8df30-66ee0ed478a34c22-01,
1785485243750141949,1110613793671168,proxy_route,baseline_3m-00001-d551ea556a87,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00001-d551ea556a87_7f57abd7822c4a6eb2862fc01ed4daee,1,,,,,10.1.0.6:32023,10.1.0.3:33023,00-a93e0932bf4640bc9fa805f134a8df30-66ee0ed478a34c22-01,
1785485243751077881,1110613794607115,upstream_dispatch,baseline_3m-00001-d551ea556a87,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00001-d551ea556a87_7f57abd7822c4a6eb2862fc01ed4daee,1,prefill,http://10.1.0.6:32023/v1/completions,,,,,00-a93e0932bf4640bc9fa805f134a8df30-66ee0ed478a34c22-01,
1785485243758341132,1110613801870642,upstream_headers,baseline_3m-00001-d551ea556a87,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00001-d551ea556a87_7f57abd7822c4a6eb2862fc01ed4daee,1,prefill,http://10.1.0.6:32023/v1/completions,200,,,,00-a93e0932bf4640bc9fa805f134a8df30-66ee0ed478a34c22-01,
1785485243822996524,1110613866525944,upstream_first_chunk,baseline_3m-00001-d551ea556a87,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00001-d551ea556a87_7f57abd7822c4a6eb2862fc01ed4daee,1,prefill,http://10.1.0.6:32023/v1/completions,200,704,,,00-a93e0932bf4640bc9fa805f134a8df30-66ee0ed478a34c22-01,
1785485243825366647,1110613868895896,upstream_complete,baseline_3m-00001-d551ea556a87,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00001-d551ea556a87_7f57abd7822c4a6eb2862fc01ed4daee,1,prefill,http://10.1.0.6:32023/v1/completions,200,704,,,00-a93e0932bf4640bc9fa805f134a8df30-66ee0ed478a34c22-01,
1785485243827332464,1110613870861712,upstream_dispatch,baseline_3m-00001-d551ea556a87,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00001-d551ea556a87_7f57abd7822c4a6eb2862fc01ed4daee,1,decode,http://10.1.0.3:33023/v1/completions,,,,,00-a93e0932bf4640bc9fa805f134a8df30-66ee0ed478a34c22-01,
1785485243834054679,1110613877584321,upstream_headers,baseline_3m-00001-d551ea556a87,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_baseline_3m-00001-d551ea556a87_7f57abd7822c4a6eb2862fc01ed4daee,1,decode,http://10.1.0.3:33023/v1/completions,200,,,,00-a93e0932bf4640bc9fa805f134a8df30-66ee0ed478a34c22-01,
