unix_ts,host,gpu_index,gpu_uuid,gpu_power_w
1785753825.004660,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785753825.004660,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.85
1785753825.004660,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.89
1785753825.004660,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.75
1785753825.505162,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785753825.505162,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.85
1785753825.505162,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.89
1785753825.505162,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.75
1785753826.005664,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785753826.005664,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.97
1785753826.005664,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.89
1785753826.005664,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.55
1785753826.506171,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785753826.506171,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.97
1785753826.506171,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.89
1785753826.506171,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.55
1785753827.006675,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.11
1785753827.006675,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.97
1785753827.006675,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,64.01
1785753827.006675,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.55
1785753827.507182,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.11
1785753827.507182,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.97
1785753827.507182,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,64.01
1785753827.507182,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.55
1785753828.007689,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.11
1785753828.007689,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.97
1785753828.007689,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.89
1785753828.007689,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.67
1785753828.508199,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.11
1785753828.508199,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.97
1785753828.508199,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.89
1785753828.508199,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.67
1785753829.008706,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785753829.008706,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.85
1785753829.008706,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.89
1785753829.008706,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.67
1785753829.509207,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785753829.509207,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.85
1785753829.509207,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.89
1785753829.509207,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.67
1785753830.009713,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785753830.009713,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.85
1785753830.009713,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.87
1785753830.009713,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.55
1785753830.510219,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785753830.510219,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.85
1785753830.510219,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.87
1785753830.510219,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.55
1785753831.010725,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785753831.010725,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.97
1785753831.010725,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.75
1785753831.010725,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.43
1785753831.511224,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785753831.511224,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.97
1785753831.511224,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.75
1785753831.511224,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.43
1785753832.011729,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785753832.011729,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753832.011729,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.99
1785753832.011729,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.55
1785753832.512226,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,31.12
1785753832.512226,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753832.512226,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.99
1785753832.512226,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.55
1785753833.012769,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,45.19
1785753833.012769,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.6
1785753833.012769,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.99
1785753833.012769,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.67
1785753833.513284,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,45.19
1785753833.513284,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.6
1785753833.513284,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.99
1785753833.513284,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.67
1785753834.013671,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.94
1785753834.013671,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.6
1785753834.013671,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.77
1785753834.013671,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.67
1785753834.514169,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.94
1785753834.514169,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.6
1785753834.514169,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.77
1785753834.514169,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.67
1785753835.014680,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.6
1785753835.014680,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753835.014680,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.87
1785753835.014680,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.65
1785753835.515213,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.6
1785753835.515213,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753835.515213,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.87
1785753835.515213,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.65
1785753836.015729,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.6
1785753836.015729,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753836.015729,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.97
1785753836.015729,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.64
1785753836.516227,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.6
1785753836.516227,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753836.516227,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.97
1785753836.516227,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.64
1785753837.016775,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.74
1785753837.016775,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753837.016775,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,64.09
1785753837.016775,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.76
1785753837.517285,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.74
1785753837.517285,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753837.517285,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,64.09
1785753837.517285,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.76
1785753838.017791,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.88
1785753838.017791,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753838.017791,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.97
1785753838.017791,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.65
1785753838.518309,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.88
1785753838.518309,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753838.518309,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.97
1785753838.518309,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.65
1785753839.018815,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.76
1785753839.018815,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753839.018815,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.73
1785753839.018815,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.43
1785753839.519325,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.76
1785753839.519325,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753839.519325,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.73
1785753839.519325,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.43
1785753840.019860,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.86
1785753840.019860,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753840.019860,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.85
1785753840.019860,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.55
1785753840.520351,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.86
1785753840.520351,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753840.520351,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.85
1785753840.520351,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.55
1785753841.020645,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.85
1785753841.020645,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753841.020645,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.85
1785753841.020645,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.79
1785753841.521135,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.85
1785753841.521135,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753841.521135,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.85
1785753841.521135,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.79
1785753842.021635,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.73
1785753842.021635,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753842.021635,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.87
1785753842.021635,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.79
1785753842.522137,neptune,0,GPU-35fd1bf9-5849-1263-ccc4-a5ccc837400f,58.73
1785753842.522137,neptune,1,GPU-a59fb458-a10d-49e3-c7e2-39daba72a66d,64.73
1785753842.522137,neptune,2,GPU-ebc2e033-0d59-2451-884a-dfd75a4915e5,63.87
1785753842.522137,neptune,3,GPU-5dbe54b5-dc6b-9e84-5431-1900a995efdc,63.79
