unix_ts,workload_seq,target_freq_mhz,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib,gpu_mem_util_pct,gpu_power_limit_w,gpu_mem_clock_mhz,gpu_temperature_c,gpu_memory_total_mib,gpu_pstate
1785052761.883023153,0,1830,137233321796,9424862654,0, 16.11, 1830, 0, 0, 72.00, 6251, 34, 23034, P0
1785052762.499533578,0,1830,137233355841,9424903734,0, 16.11, 1830, 0, 0, 72.00, 6251, 34, 23034, P0
1785052763.120346188,0,1830,137233355841,9424903734,0, 20.53, 1830, 0, 0, 72.00, 6251, 35, 23034, P0
1785052763.738253635,0,1830,137233401519,9424956466,0, 24.90, 1830, 0, 0, 72.00, 6251, 35, 23034, P0
1785052764.355270085,0,1830,137233554771,9425151528,0, 24.90, 1830, 0, 0, 72.00, 6251, 35, 23034, P0
1785052764.975202994,0,1830,137233554771,9425151528,0, 24.99, 1830, 0, 0, 72.00, 6251, 35, 23034, P0
1785052765.596726509,0,1830,137233683311,9425303552,0, 24.99, 1830, 0, 0, 72.00, 6251, 35, 23034, P0
1785052766.213497902,0,1830,137233683311,9425303552,0, 25.19, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785052766.833040911,0,1830,137233858953,9425519290,0, 25.19, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785052767.455612446,0,1830,137233978521,9425664252,0, 25.19, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785052768.073352989,0,1830,137233978521,9425664252,0, 24.99, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785052768.690000747,0,1830,137234182883,9425848466,0, 24.99, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785052769.302902197,0,1830,137234182883,9425848466,0, 24.99, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785052769.919299997,0,1830,137234754195,9426351334,0, 25.14, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785052770.537128678,0,1830,137235919749,9427366766,0, 25.14, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785052771.154879861,0,1830,137235919749,9427366766,0, 25.19, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785052771.771951663,0,1830,137236459575,9427833460,0, 25.09, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785052772.390005619,0,1830,137236459575,9427833460,0, 25.09, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785052773.005801330,0,1830,137236749875,9428088296,0, 24.99, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785052773.625041277,0,1830,137237482033,9428755398,0, 25.19, 1830, 0, 0, 72.00, 6251, 36, 23034, P0
1785052774.244563616,0,1830,137237482033,9428755398,0, 25.19, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052774.863134372,0,1830,137237588091,9428855014,0, 25.28, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052775.481052178,0,1830,137237588091,9429255960,0, 25.28, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052776.097341360,0,1830,137238019657,9429255960,0, 25.14, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052776.715464164,0,1830,137238754239,9429950370,0, 25.04, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052777.331943313,0,1830,137238754239,9429950370,0, 25.04, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052777.946254520,0,1830,137239202751,9430380696,0, 25.09, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052778.562457127,0,1830,137239804757,9430952274,0, 25.09, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052779.178593326,0,1830,137239804757,9430952274,0, 25.33, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052779.796282095,0,1830,137240016457,9431149675,0, 25.38, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052780.414011751,0,1830,137240016457,9431149675,0, 25.38, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052781.033146922,0,1830,137240383916,9431496537,0, 25.19, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052781.652498488,0,1830,137240456368,9431570667,0, 25.09, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052782.270914193,0,1830,137240456368,9431570667,0, 25.09, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052782.887188933,0,1830,137240502148,9431615529,0, 25.19, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052783.504108197,0,1830,137240502148,9431615529,0, 25.19, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052784.122260813,0,1830,137240627006,9431738967,0, 25.29, 1830, 0, 0, 72.00, 6251, 37, 23034, P0
1785052784.750279710,0,1830,137240743290,9431860791,0, 25.29, 1830, 0, 0, 72.00, 6251, 38, 23034, P0
1785052785.367839230,0,1830,137240743290,9431860791,0, 25.29, 1830, 0, 0, 72.00, 6251, 38, 23034, P0
1785052785.983288162,0,1830,137240890094,9431985091,0, 25.19, 1830, 0, 0, 72.00, 6251, 38, 23034, P0
1785052786.598857953,0,1830,137240890094,9431985091,0, 25.19, 1830, 0, 0, 72.00, 6251, 38, 23034, P0
1785052787.216872919,0,1830,137241038822,9432112975,0, 25.24, 1830, 0, 0, 72.00, 6251, 38, 23034, P0
1785052787.836351754,0,1830,137241089204,9432157601,0, 25.33, 1830, 0, 0, 72.00, 6251, 38, 23034, P0
1785052788.456001621,0,1830,137241089204,9432157601,0, 25.33, 1830, 0, 0, 72.00, 6251, 38, 23034, P0
1785052789.076924926,0,1830,137241185202,9432252723,0, 25.29, 1830, 0, 0, 72.00, 6251, 38, 23034, P0
1785052789.695377342,0,1830,137241185202,9432252723,0, 25.29, 1830, 0, 0, 72.00, 6251, 38, 23034, P0
1785052790.314640625,0,1830,137241625800,9432692713,0, 25.29, 1830, 0, 0, 72.00, 6251, 38, 23034, P0
1785052790.931674177,0,1830,137242170768,9433241933,0, 25.24, 1830, 0, 0, 72.00, 6251, 38, 23034, P0
1785052791.562146127,0,1830,137242170768,9433241933,1, 26.36, 1830, 195, 0, 72.00, 6251, 38, 23034, P0
1785052792.181851471,0,1830,137242622404,9433692565,0, 26.73, 1830, 225, 0, 72.00, 6251, 38, 23034, P0
1785052792.798073872,0,1830,137242622404,9433692565,0, 25.30, 1830, 279, 0, 72.00, 6251, 38, 23034, P0
1785052793.417316368,0,1830,137242945342,9434017861,0, 25.48, 1830, 665, 0, 72.00, 6251, 38, 23034, P0
1785052794.035161459,0,1830,137243246978,9434309677,0, 25.48, 1830, 14147, 0, 72.00, 6251, 38, 23034, P0
1785052794.652113341,0,1830,137243246978,9434309677,0, 25.46, 1830, 14147, 0, 72.00, 6251, 38, 23034, P0
1785052795.292205922,0,1830,137243525016,9434565668,7, 25.76, 1830, 14147, 1, 72.00, 6251, 38, 23034, P0
1785052795.940191062,0,1830,137243525016,9434565668,8, 26.04, 1830, 14147, 1, 72.00, 6251, 38, 23034, P0
1785052796.562742578,0,1830,137243548975,9434582387,9, 25.96, 1830, 14147, 1, 72.00, 6251, 38, 23034, P0
1785052797.183444882,0,1830,137243550681,9434587635,3, 25.88, 1830, 14147, 0, 72.00, 6251, 38, 23034, P0
1785052797.821161924,0,1830,137243550681,9434587635,9, 25.94, 1830, 14147, 1, 72.00, 6251, 39, 23034, P0
1785052798.445274975,0,1830,137243553443,9434594743,7, 25.88, 1830, 14147, 1, 72.00, 6251, 39, 23034, P0
1785052799.065321740,0,1830,137243554523,9434597935,9, 25.91, 1830, 14147, 1, 72.00, 6251, 39, 23034, P0
1785052799.692151500,0,1830,137243554523,9434597935,8, 25.96, 1830, 14147, 1, 72.00, 6251, 39, 23034, P0
1785052800.333434426,0,1830,137243556937,9434608119,6, 26.07, 1830, 14147, 1, 72.00, 6251, 39, 23034, P0
1785052800.957713975,0,1830,137243556937,9434608119,8, 26.15, 1830, 14147, 1, 72.00, 6251, 39, 23034, P0
1785052801.566024227,0,1830,137243558017,9434611623,10, 26.09, 1830, 14147, 1, 72.00, 6251, 39, 23034, P0
1785052802.205388735,0,1830,137243560317,9434621055,9, 25.97, 1830, 14147, 1, 72.00, 6251, 39, 23034, P0
1785052802.825658617,0,1830,137243560317,9434621055,1, 25.74, 1830, 14111, 0, 72.00, 6251, 39, 23034, P0
1785052803.442503349,0,1830,137243562357,9434628935,44, 31.91, 1650, 14639, 31, 72.00, 6251, 39, 23034, P0
1785052804.067078327,0,1830,137243562357,9434628935,100, 57.98, 1410, 14639, 61, 72.00, 6251, 45, 23034, P0
1785052804.689803250,0,1830,137243563729,9434633693,0, 52.39, 1830, 14641, 0, 72.00, 6251, 40, 23034, P0
1785052805.307275768,0,1830,137243566263,9434646397,0, 25.82, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052805.926944024,0,1830,137243566263,9434646397,0, 25.69, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052806.544696005,0,1830,137243578257,9434665069,0, 25.69, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052807.164524758,0,1830,137243578257,9434665069,0, 25.39, 1830, 14127, 0, 72.00, 6251, 39, 23034, P0
1785052807.782782693,0,1830,137243579717,9434671933,0, 25.39, 1830, 14127, 0, 72.00, 6251, 39, 23034, P0
1785052808.401213590,0,1830,137243581637,9434681505,0, 25.38, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052809.019094173,0,1830,137243581637,9434681505,0, 25.28, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052809.637143524,0,1830,137243582717,9434686447,0, 25.28, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052810.255840105,0,1830,137243582717,9434686447,0, 25.14, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052810.871996743,0,1830,137243585131,9434701657,0, 25.14, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052811.491039992,0,1830,137243587105,9434708049,0, 25.14, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052812.111197420,0,1830,137243587105,9434708049,0, 25.19, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052812.731027873,0,1830,137243589683,9434712739,0, 25.19, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052813.349530024,0,1830,137243589683,9434712739,0, 25.28, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052813.967978140,0,1830,137243591651,9434715587,0, 25.38, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052814.586349122,0,1830,137243592545,9434717141,0, 25.38, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052815.205416623,0,1830,137243592545,9434717141,0, 25.38, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052815.822321210,0,1830,137243594453,9434720565,0, 25.33, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052816.439852123,0,1830,137243594453,9434728799,0, 25.33, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052817.057864022,0,1830,137243597635,9434728799,0, 25.29, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
1785052817.677617849,0,1830,137243599489,9434733341,0, 25.29, 1830, 14127, 0, 72.00, 6251, 40, 23034, P0
