unix_ts,component,num_running,num_waiting,num_swapped,gpu_cache_usage,queue_time_sum_s,queue_time_count,scrape_ok,error
1785332806.375568,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332806.375568,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332807.376642,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332807.376642,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332808.377717,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332808.377717,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332809.378788,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332809.378788,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332810.379860,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332810.379860,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332811.380934,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332811.380934,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332812.382008,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332812.382008,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332813.383127,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332813.383127,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332814.384200,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332814.384200,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332815.385288,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332815.385288,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332816.386377,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332816.386377,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332817.387458,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332817.387458,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332818.388539,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332818.388539,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332819.389530,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332819.389530,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332820.390604,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332820.390604,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332821.391676,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332821.391676,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332822.392799,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332822.392799,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332823.393914,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332823.393914,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332824.395000,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332824.395000,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332825.396074,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332825.396074,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332826.397146,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332826.397146,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332827.398219,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332827.398219,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332828.399291,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332828.399291,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332829.400364,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332829.400364,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332830.401437,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332830.401437,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332831.402555,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332831.402555,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332832.403627,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332832.403627,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332833.404702,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332833.404702,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332834.405797,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332834.405797,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332835.406870,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332835.406870,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332836.407942,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332836.407942,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332837.409019,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332837.409019,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332838.410092,prefill,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
1785332838.410092,decode,,,,,,,False,URLError: <urlopen error [Errno 111] Connection refused>
