unix_ts,event,seq,workload_id,policy
1784841054.454757405,workload_start,1,steady_start,latency_plus_saturation
1784841085.064469862,workload_end,1,steady_start,latency_plus_saturation
1784841092.806181847,workload_start,2,short_ramp,latency_plus_saturation
1784841126.840081175,workload_end,2,short_ramp,latency_plus_saturation
1784841133.584318328,workload_start,3,prefill_shift,latency_plus_saturation
1784841164.847550579,workload_end,3,prefill_shift,latency_plus_saturation
1784841172.719171835,workload_start,4,decode_shift,latency_plus_saturation
1784841218.247382641,workload_end,4,decode_shift,latency_plus_saturation
1784841224.029763669,workload_start,5,sudden_burst,latency_plus_saturation
1784841254.917296350,workload_end,5,sudden_burst,latency_plus_saturation
1784841261.670291077,workload_start,6,short_recovery,latency_plus_saturation
1784841296.406439184,workload_end,6,short_recovery,latency_plus_saturation
1784841303.267582266,workload_start,7,long_prefill,latency_plus_saturation
1784841334.412607780,workload_end,7,long_prefill,latency_plus_saturation
1784841342.272909507,workload_start,8,mixed_pressure,latency_plus_saturation
1784841389.970167734,workload_end,8,mixed_pressure,latency_plus_saturation
