proxy_start hostname=ganymede http=0.0.0.0:30012 registry=0.0.0.0:31012
registry_add role=decode http=10.1.0.3:33012 zmq=10.1.0.3:34012
registry_add role=prefill http=10.1.0.6:32012 zmq=10.1.0.6:34012
route count=0 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_721e7afd4bbf435aa0290ced5addec50 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=1 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_9d06afd35a684df093ee81f8e08ff0a3 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=2 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_3716bf65cb604727867c9b5dd0fd0cf9 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=3 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_ef4db211abf640d192a5849c3663d5fe prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=4 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_0df8e80005f44a24aad8799b28703a5c prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=5 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_02586ba58a554f5bb852287d0b09d02e prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=6 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_2bd11531e01b41a8aaf7e13555704cc0 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=7 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_83843dce15974e73b0a18f1769bb85cc prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=8 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_2ba1c3b47cfd44809f0ab5846be8264e prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=9 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_9824fc360196457191dacc53d9ea9323 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=10 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_0c09063532974a71869163d2635fc57f prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=11 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_fc31da9b977f4fa69d8386673114e822 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=12 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_81cf823f63c749a4aff4f9a2271df3f8 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=13 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_49391b76324845f9839befca2ba160ca prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
